Tax Year,Place of Residence,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2013,Chenango,36678,1194,53433,2133,6819,14
2004,Franklin,31733,980,44723,1723,8631,22
2004,Fulton,33875,1140,46101,1839,8531,23
2004,Genesee,34728,1200,46822,1861,7920,24
2004,Greene,37121,1416,51422,2195,7595,25
2004,Hamilton,32266,1084,44578,1744,9601,26
2004,Herkimer,31783,983,43565,1640,8531,27
2004,Jefferson,33665,1106,46655,1869,9235,28
2004,Lewis,31277,885,43284,1584,9526,29
2004,Livingston,37681,1374,50359,2075,7863,30
2004,Madison,39654,1467,52798,2254,9399,31
2004,Monroe,45868,1942,61919,2897,8337,32
2004,Montgomery,32763,1051,45463,1806,8936,33
2004,Nassau,80469,4193,106464,5783,8649,34
2004,Niagara,36320,1328,49737,2062,7665,35
2004,Oneida,35441,1270,49430,2080,8448,36
2004,Onondaga,44672,1797,59872,2741,9382,37
2004,Ontario,43873,1793,58291,2621,8192,38
2004,Orange,53076,2064,69095,2930,9140,39
2004,Orleans,32972,1055,45115,1729,8471,40
2004,Oswego,35591,1250,48986,1991,8085,41
2004,Otsego,37214,1403,51971,2257,8237,42
2004,Putnam,68536,3164,85053,4060,7966,43
2004,Rensselaer,41602,1637,54520,2373,8113,44
2004,Rockland,66198,2857,87215,4012,9619,45
2004,St. Lawrence,33317,1099,47319,1884,8315,46
2004,Saratoga,51023,2291,64727,3074,7494,47
2004,Schenectady,43150,1786,58377,2682,8196,48
2004,Schoharie,36039,1258,49335,1987,8118,49
2004,Schuyler,33066,1092,46099,1820,8163,50
2004,Seneca,33543,1080,46234,1821,9537,51
2004,Steuben,36832,1337,52495,2231,8540,52
2004,Suffolk,62832,2985,81337,4074,8520,53
2004,Sullivan,41589,1553,58196,2524,9350,54
2004,Tioga,37824,1291,50924,2023,10481,55
2004,Tompkins,47989,2085,62836,2940,7957,56
2004,Ulster,43031,1751,57812,2581,7836,57
2004,Warren,41281,1684,56308,2537,7739,58
2004,Washington,34845,1146,47184,1832,9025,59
2004,Wayne,38306,1389,50689,2093,8729,60
2004,Westchester,112543,6270,150270,8657,9583,61
2004,Wyoming,34440,1114,45288,1747,9187,62
2004,Yates,32327,983,45384,1753,10252,63
2004,"Total, Counties Outside of New York City",56941,2618,76648,3794,8574,64
2004,NYS Unclassified +,33410,1320,50777,2235,6199,65
2004,Residence Unknown ++,130433,7431,199789,11749,8465,66
2013,Clinton,41957,1530,58729,2487,8548,15
2004,"Grand Total, Full-Year Resident",57547,2677,80360,4101,9309,67
2003,New York City - Bronx,28515,607,43145,1601,11141,1
2003,New York City - Kings,35272,1137,52156,2211,7974,2
2003,New York City - Manhattan,107365,6237,150800,9175,9479,3
2003,New York City - Queens,35410,1206,50019,2063,1303,4
2003,New York City - Richmond,50240,2090,65843,2957,73440,5
2003,"Total, New York City",52036,2325,76630,3928,9895,6
2003,Albany,45982,2013,61120,2899,7338,7
2003,Allegany,30803,920,43782,1608,8330,8
2003,Broome,36144,1274,50380,2157,8577,9
2003,Cattaraugus,31306,963,43922,1668,8964,10
2003,Cayuga,34132,1137,46083,1835,8861,11
2003,Chautauqua,31118,956,44116,1674,8600,12
2003,Chemung,34890,1221,49615,2037,7783,13
2003,Chenango,31548,974,44356,1702,8760,14
2003,Clinton,35633,1249,47414,1910,8696,15
2003,Columbia,41937,1654,56989,2519,9204,16
2003,Cortland,34229,1136,46140,1841,8697,17
2003,Delaware,31407,1039,45932,1826,7582,18
2003,Dutchess,51396,2238,66043,3050,7525,19
2003,Erie,40070,1605,54968,2470,7454,20
2003,Essex,33990,1187,47353,1892,7672,21
2003,Franklin,30743,940,43339,1655,8325,22
2003,Fulton,33898,1150,46445,1869,8733,23
2003,Genesee,33682,1151,45471,1786,7464,24
2003,Greene,35432,1313,49331,2063,7557,25
2003,Hamilton,30438,1031,43649,1677,6610,26
2003,Herkimer,31711,1014,43815,1692,8213,27
2003,Jefferson,32239,1048,45339,1805,8616,28
2003,Lewis,29968,835,41806,1513,8791,29
2003,Livingston,36086,1288,48073,1943,7679,30
2003,Madison,37442,1355,50071,2090,8618,31
2003,Monroe,44039,1846,59568,2761,7918,32
2003,Montgomery,31535,998,43884,1708,8423,33
2003,Nassau,73912,3795,97656,5233,8086,34
2003,Niagara,35271,1285,48393,1997,7273,35
2003,Oneida,34118,1197,47368,1957,8344,36
2003,Onondaga,42643,1697,57147,2579,8907,37
2003,Ontario,41830,1677,55730,2465,7796,38
2003,Orange,49536,1930,64489,2743,8565,39
2003,Orleans,31653,992,43745,1656,8198,40
2003,Oswego,34394,1175,47133,1873,7976,41
2003,Otsego,34499,1225,48467,2015,8062,42
2003,Putnam,64244,2925,79715,3750,7213,43
2003,Rensselaer,39344,1501,51822,2205,7932,44
2003,Rockland,62531,2680,82121,3752,8797,45
2003,St. Lawrence,32224,1049,45891,1807,7984,46
2003,Saratoga,50106,2229,63942,3009,7128,47
2003,Schenectady,41238,1676,55807,2520,7845,48
2003,Schoharie,33526,1105,46073,1776,7970,49
2003,Schuyler,31046,954,43456,1620,8167,50
2003,Seneca,31940,1008,44893,1736,8430,51
2003,Steuben,34403,1174,49319,2001,8202,52
2003,Suffolk,58940,2746,76104,3740,8094,53
2003,Sullivan,36717,1285,51567,2136,8901,54
2003,Tioga,36192,1233,49508,1963,9455,55
2003,Tompkins,44168,1884,57491,2650,7697,56
2003,Ulster,40029,1572,54071,2347,7679,57
2003,Warren,39732,1594,54366,2417,7536,58
2003,Washington,32414,997,44192,1625,8366,59
2003,Wayne,37089,1307,49140,1976,8459,60
2003,Westchester,97893,5319,130816,7367,8651,61
2003,Wyoming,33178,1048,43963,1665,8568,62
2003,Yates,30413,895,43180,1640,9460,63
2003,"Total, Counties Outside of New York City",52844,2375,71169,3453,8117,64
2003,NYS Unclassified +,39002,1660,51691,2367,6399,65
2003,Residence Unknown ++,105219,6198,144696,8796,8614,66
2003,"Grand Total, Full-Year Resident",52598,2361,73319,3638,8932,67
2013,Columbia,53247,2262,76703,3592,6778,16
2002,New York City - Bronx,28393,676,42105,1544,10470,1
2002,New York City - Kings,34613,1118,48839,1998,9662,2
2002,New York City - Manhattan,100720,5339,139561,7740,9316,3
2002,New York City - Queens,35278,1217,64178,8184,8942,4
2002,New York City - Richmond,49488,2010,50254,695,7659,5
2002,"Total, New York City",50075,2111,72178,3446,9465,6
2002,Albany,44317,1885,58167,2665,7355,7
2002,Allegany,30508,922,42614,1550,8192,8
2002,Broome,35392,1263,48774,2041,7999,9
2002,Cattaraugus,31269,973,43640,1643,8568,10
2002,Cayuga,33464,1115,44873,1756,8487,11
2002,Chautauqua,30470,920,42772,1575,8453,12
2002,Chemung,34647,1213,48519,1969,7887,13
2002,Chenango,30942,951,43048,1627,8777,14
2002,Clinton,34975,1219,46199,1830,8294,15
2002,Columbia,40367,1520,54417,2282,8605,16
2002,Cortland,33150,1079,44288,1710,8600,17
2002,Delaware,30066,949,43682,1660,7527,18
2002,Dutchess,50446,2152,64345,2895,7173,19
2002,Erie,38890,1522,52944,2297,7164,20
2002,Essex,32612,1091,45012,1721,7717,21
2002,Franklin,30529,938,42508,1604,8205,22
2002,Fulton,32713,1084,44703,1731,8057,23
2002,Genesee,33156,1128,44096,1706,7429,24
2002,Greene,35015,1275,47962,1951,7255,25
2002,Hamilton,29680,978,41339,1531,6742,26
2002,Herkimer,30070,917,41217,1516,8071,27
2002,Jefferson,31168,991,43374,1668,8376,28
2002,Lewis,28825,772,39493,1374,8847,29
2002,Livingston,35757,1273,47128,1879,7349,30
2002,Madison,37532,1359,49877,2063,8124,31
2002,Monroe,42329,1712,56474,2506,7607,32
2002,Montgomery,31547,1016,43560,1689,8117,33
2002,Nassau,72090,3497,94347,4752,7560,34
2002,Niagara,34648,1254,47126,1912,7032,35
2002,Oneida,33556,1178,46371,1880,7701,36
2002,Onondaga,41860,1674,56023,2475,7738,37
2002,Ontario,40077,1551,52851,2249,7577,38
2002,Orange,48573,1867,62585,2601,8128,39
2002,Orleans,31355,988,42786,1601,7980,40
2002,Oswego,34012,1168,45801,1798,7799,41
2002,Otsego,33137,1121,46183,1826,7823,42
2002,Putnam,62509,2743,76523,3467,7705,43
2002,Rensselaer,38653,1462,50613,2111,7539,44
2002,Rockland,61182,2516,79282,3447,8319,45
2002,St. Lawrence,31765,1026,44876,1739,7969,46
2002,Saratoga,47803,2060,60469,2748,6921,47
2002,Schenectady,40608,1630,54322,2387,7352,48
2002,Schoharie,32922,1098,45030,1737,7742,49
2002,Schuyler,31307,996,43659,1637,7856,50
2002,Seneca,31006,962,43173,1623,8351,51
2002,Steuben,33854,1149,47590,1888,7996,52
2002,Suffolk,57180,2559,73039,3430,7669,53
2002,Sullivan,35238,1206,49449,1981,8340,54
2002,Tioga,35728,1206,48043,1867,9351,55
2002,Tompkins,42286,1729,54908,2418,7267,56
2002,Ulster,39095,1504,52093,2198,7414,57
2002,Warren,38886,1519,53032,2288,7446,58
2002,Washington,32003,986,43267,1576,8454,59
2002,Wayne,36951,1323,48507,1947,7946,60
2002,Westchester,94251,4728,124438,6454,8097,61
2002,Wyoming,33317,1084,43766,1665,8434,62
2002,Yates,30070,884,42278,1570,8974,63
2002,"Total, Counties Outside of New York City",51385,2213,68508,3164,7724,64
2002,NYS Unclassified +,46692,2014,53658,2408,7792,65
2002,Residence Unknown ++,74248,3610,89019,4444,8130,66
2002,"Grand Total, Full-Year Resident",50918,2176,69928,3272,8515,67
2013,Cortland,40894,1396,56858,2373,9072,17
2001,New York City - Bronx,28122,689,40995,1500,10051,1
2001,New York City - Kings,34770,1175,49419,2051,9326,2
2001,New York City - Manhattan,113769,6239,154144,8764,9101,3
2001,New York City - Queens,35303,1252,47793,1955,8658,4
2001,New York City - Richmond,49856,2081,63438,2803,7246,5
2001,"Total, New York City",53128,2351,75059,3686,9152,6
2001,Albany,43983,1902,56824,2617,6790,7
2001,Allegany,30259,937,41591,1522,8087,8
2001,Broome,35342,1348,47629,2001,7009,9
2001,Cattaraugus,30178,949,41368,1535,8094,10
2001,Cayuga,33232,1131,43719,1715,8277,11
2001,Chautauqua,30735,977,42115,1578,8131,12
2001,Chemung,36056,1341,49054,2051,7728,13
2001,Chenango,30955,984,42029,1597,8385,14
2001,Clinton,34774,1235,45129,1792,8165,15
2001,Columbia,40793,1580,53660,2281,8269,16
2001,Cortland,33163,1131,43496,1700,8122,17
2001,Delaware,29905,961,42411,1609,7492,18
2001,Dutchess,51247,2234,64220,2930,6937,19
2001,Erie,38810,1550,51746,2259,6904,20
2001,Essex,32579,1120,44171,1701,7160,21
2001,Franklin,30265,951,41452,1564,8079,22
2001,Fulton,32042,1093,43075,1681,7825,23
2001,Genesee,33469,1175,43620,1709,7212,24
2001,Greene,34551,1274,46416,1886,6874,25
2001,Hamilton,29064,966,39824,1463,6325,26
2001,Herkimer,29955,937,40131,1477,7924,27
2001,Jefferson,31015,1014,42338,1620,7880,28
2001,Lewis,29386,832,39284,1386,8896,29
2001,Livingston,35654,1296,46243,1860,7230,30
2001,Madison,37850,1423,49464,2070,7756,31
2001,Monroe,43189,1807,56293,2539,7294,32
2001,Montgomery,31461,1041,42645,1663,8198,33
2001,Nassau,74128,3679,95028,4867,7235,34
2001,Niagara,34354,1264,45743,1861,6872,35
2001,Oneida,33746,1225,45666,1865,7304,36
2001,Onondaga,41861,1726,54913,2453,7184,37
2001,Ontario,40753,1621,52466,2259,7321,38
2001,Orange,48377,1904,61568,2591,7721,39
2001,Orleans,31534,1031,41758,1576,7839,40
2001,Oswego,33595,1171,44532,1744,7420,41
2001,Otsego,33075,1150,45186,1799,7668,42
2001,Putnam,64005,2858,76969,3540,8415,43
2001,Rensselaer,38166,1461,49095,2048,7305,44
2001,Rockland,61875,2622,78714,3491,7887,45
2001,St. Lawrence,31432,1033,43468,1679,7804,46
2001,Saratoga,46650,2018,57979,2627,6599,47
2001,Schenectady,40609,1665,53353,2358,6995,48
2001,Schoharie,33097,1136,44021,1708,7643,49
2001,Schuyler,31604,1039,42445,1597,7525,50
2001,Seneca,31204,1018,42306,1611,7954,51
2001,Steuben,38042,1463,52107,2242,7870,52
2001,Suffolk,58265,2661,73291,3485,7266,53
2001,Sullivan,33984,1189,46987,1895,7988,54
2001,Tioga,36114,1255,46959,1839,9384,55
2001,Tompkins,42976,1807,54646,2453,7371,56
2001,Ulster,39197,1546,51609,2204,7108,57
2001,Warren,37840,1476,50660,2159,7028,58
2001,Washington,31310,974,41589,1503,8140,59
2001,Wayne,37416,1386,48059,1959,7656,60
2001,Westchester,102692,5319,132599,7051,7730,61
2001,Wyoming,32283,1039,41509,1558,8560,62
2001,Yates,31492,1013,43118,1666,8954,63
2001,"Total, Counties Outside of New York City",52636,2334,68823,3233,7392,64
2001,NYS Unclassified +,46992,2047,56893,2632,8024,65
2001,Residence Unknown ++,67572,3221,81870,4035,8566,66
2001,"Grand Total, Full-Year Resident",52867,2343,71188,3404,8197,67
2013,Delaware,37684,1278,57022,2380,8125,18
2000,New York City - Bronx,27707,710,40382,1493,9676,1
2000,New York City - Kings,34820,1214,49315,2068,9053,2
2000,New York City - Manhattan,131395,7419,174568,10132,8955,3
2000,New York City - Queens,35278,1280,47395,1960,8484,4
2000,New York City - Richmond,49283,2070,62284,2756,7020,5
2000,"Total, New York City",57451,2667,80699,4083,8916,6
2000,Albany,44882,1979,57306,2670,6703,7
2000,Allegany,29689,928,40375,1473,7815,8
2000,Broome,36412,1430,48162,2059,6996,9
2000,Cattaraugus,31477,1058,42723,1650,7778,10
2000,Cayuga,33367,1160,43503,1708,7863,11
2000,Chautauqua,31255,1029,42312,1613,8022,12
2000,Chemung,37833,1490,50915,2201,7300,13
2000,Chenango,32028,1084,43461,1713,8082,14
2000,Clinton,34394,1239,45026,1798,7412,15
2000,Columbia,41043,1610,53450,2279,8042,16
2000,Cortland,33114,1150,43109,1694,7995,17
2000,Delaware,30018,987,42171,1622,7544,18
2000,Dutchess,51598,2296,64197,2975,6713,19
2000,Erie,40688,1700,53694,2414,6784,20
2000,Essex,34134,1250,46405,1882,7153,21
2000,Franklin,30934,1023,42380,1654,7843,22
2000,Fulton,31988,1106,42882,1682,7566,23
2000,Genesee,33291,1184,42740,1680,7305,24
2000,Greene,35401,1347,47110,1960,6927,25
2000,Hamilton,29231,995,39868,1496,6491,26
2000,Herkimer,30123,974,40207,1511,7753,27
2000,Jefferson,31315,1058,42560,1661,7776,28
2000,Lewis,29403,866,39159,1404,8578,29
2000,Livingston,36557,1379,46910,1933,7236,30
2000,Madison,37813,1436,48779,2048,7721,31
2000,Monroe,45101,1960,57903,2678,7197,32
2000,Montgomery,30850,1034,41531,1618,7849,33
2000,Nassau,80454,4131,101123,5323,6905,34
2000,Niagara,34735,1304,45826,1885,6847,35
2000,Oneida,34301,1276,45833,1895,7326,36
2000,Onondaga,42544,1793,55035,2485,7085,37
2000,Ontario,41341,1685,52561,2296,7303,38
2000,Orange,47845,1908,60611,2569,7390,39
2000,Orleans,33140,1162,43817,1733,7658,40
2000,Oswego,33533,1189,43983,1732,7217,41
2000,Otsego,33915,1234,45903,1886,7492,42
2000,Putnam,64882,2956,76991,3610,9069,43
2000,Rensselaer,38482,1511,49081,2076,7139,44
2000,Rockland,64000,2806,80060,3645,7527,45
2000,St. Lawrence,31509,1065,43272,1690,7589,46
2000,Saratoga,46907,2054,57728,2640,6640,47
2000,Schenectady,41587,1748,53909,2423,6966,48
2000,Schoharie,32275,1100,42723,1647,7590,49
2000,Schuyler,30923,1015,41162,1537,7518,50
2000,Seneca,35285,1292,47883,1985,7878,51
2000,Steuben,45011,1937,61541,2874,7594,52
2000,Suffolk,59778,2801,74180,3601,7121,53
2000,Sullivan,35026,1249,48315,1952,7612,54
2000,Tioga,36224,1290,47028,1862,8750,55
2000,Tompkins,45252,1969,56754,2609,7116,56
2000,Ulster,40712,1630,52989,2273,6949,57
2000,Warren,38247,1525,50482,2183,7011,58
2000,Washington,31737,1020,41940,1545,8030,59
2000,Wayne,37507,1413,47608,1954,7582,60
2000,Westchester,108980,5810,137659,7493,7546,61
2000,Wyoming,33392,1137,42686,1656,8502,62
2000,Yates,31718,1053,43052,1688,8610,63
2000,"Total, Counties Outside of New York City",54969,2519,70934,3414,7225,64
2000,NYS Unclassified +,41626,1814,60507,2864,6490,65
2000,Residence Unknown ++,123828,6858,180374,10255,7886,66
2000,"Grand Total, Full-Year Resident",56063,2585,74749,3674,8006,67
1999,New York City - Bronx,27377,747,39228,1434,9295,1
1999,New York City - Kings,33244,1152,47056,1939,8744,2
1999,New York City - Manhattan,108851,5989,143416,8129,8718,3
1999,New York City - Queens,33951,1221,45708,1861,8223,4
1999,New York City - Richmond,47084,1963,59674,2612,6670,5
1999,"Total, New York City",51802,2337,72147,3544,8605,6
1999,Albany,42564,1846,54915,2518,6477,7
1999,Allegany,28811,883,39384,1408,7733,8
1999,Broome,35090,1350,47027,1971,6764,9
1999,Cattaraugus,29862,966,40934,1529,7643,10
1999,Cayuga,32179,1095,42117,1620,7824,11
1999,Chautauqua,30337,985,41379,1551,7914,12
1999,Chemung,34661,1291,46816,1923,7146,13
1999,Chenango,31554,1055,43005,1670,8006,14
1999,Clinton,33651,1210,44481,1773,7386,15
1999,Columbia,39863,1537,52442,2200,7842,16
1999,Cortland,31476,1056,41557,1587,7833,17
1999,Delaware,29741,983,42161,1615,7428,18
1999,Dutchess,47876,2069,60167,2712,6367,19
1999,Erie,38554,1569,51138,2238,6525,20
1999,Essex,32003,1126,43819,1712,7006,21
1999,Franklin,28465,875,39306,1449,7771,22
1999,Fulton,30699,1042,41397,1591,7411,23
1999,Genesee,32961,1165,42399,1654,7382,24
1999,Greene,33299,1216,44986,1804,6706,25
1999,Hamilton,28949,989,40408,1526,6287,26
1999,Herkimer,28806,902,38720,1416,7772,27
1999,Jefferson,30875,1042,42159,1631,7626,28
1999,Lewis,28603,816,38209,1330,8815,29
1999,Livingston,35640,1325,45792,1855,7105,30
1999,Madison,36241,1353,46918,1933,7758,31
1999,Monroe,44136,1910,56771,2605,6844,32
1999,Montgomery,29756,982,40474,1547,7545,33
1999,Nassau,73240,3687,92040,4756,6918,34
1999,Niagara,33862,1261,44997,1829,6529,35
1999,Oneida,33359,1235,44997,1846,7049,36
1999,Onondaga,41289,1728,53650,2401,6883,37
1999,Ontario,40722,1658,51804,2255,7128,38
1999,Orange,45758,1807,58137,2440,7248,39
1999,Orleans,30748,1015,40612,1523,7466,40
1999,Oswego,34171,1212,45054,1762,7128,41
1999,Otsego,33530,1217,45927,1881,7570,42
1999,Putnam,60500,2688,72815,3304,5747,43
1999,Rensselaer,36448,1385,46869,1923,6964,44
1999,Rockland,60353,2603,75372,3372,7159,45
1999,St. Lawrence,30632,1020,42420,1629,7382,46
1999,Saratoga,44636,1911,55630,2493,6483,47
1999,Schenectady,40149,1669,52569,2335,6720,48
1999,Schoharie,31493,1060,41974,1587,7361,49
1999,Schuyler,30157,987,40705,1509,7150,50
1999,Seneca,31032,1040,41691,1603,7861,51
1999,Steuben,34974,1293,47938,1977,7402,52
1999,Suffolk,55961,2566,69711,3313,6823,53
1999,Sullivan,34273,1234,46983,1932,8823,54
1999,Tioga,34944,1220,45633,1774,8704,55
1999,Tompkins,41700,1743,52679,2338,7007,56
1999,Ulster,38207,1522,50125,2142,6726,57
1999,Warren,36813,1453,49410,2114,6805,58
1999,Washington,30669,957,40763,1460,8089,59
1999,Wayne,36210,1338,46103,1854,7432,60
1999,Westchester,95137,4969,120495,6439,7466,61
1999,Wyoming,33390,1149,43056,1685,8365,62
1999,Yates,30706,990,41652,1581,8667,63
1999,"Total, Counties Outside of New York City",51028,2283,66129,3112,7034,64
1999,NYS Unclassified +,35275,1395,50900,2215,6526,65
1999,Residence Unknown ++,94618,4856,137992,7311,7360,66
1999,"Grand Total, Full-Year Resident",51396,2308,68454,3277,7733,67
2013,Dutchess,62000,2738,83232,3928,7254,19
2013,Erie,50179,2129,69399,3299,8374,20
2012,Cayuga,42576,1553,59438,2583,8915,11
2012,Schenectady,48607,1965,67482,3113,8610,48
2012,Fulton,37795,1243,53801,2212,9258,23
2012,NYS Unclassified +,51896,2206,73357,3389,7550,65
2012,Orange,58250,2269,79744,3464,9180,39
2012,Orleans,36816,1146,50975,2017,10072,40
2012,Oneida,41390,1504,59287,2598,9079,36
2012,Washington,38805,1254,54317,2131,8521,59
2012,New York City - Kings,45687,1789,71027,3397,8558,2
2012,St. Lawrence,39563,1353,57351,2422,9210,46
2012,Rensselaer,47360,1867,64665,2855,7663,44
2012,Broome,43668,1662,62182,2779,8449,9
2012,Seneca,40482,1407,57364,2465,9833,51
2012,Chautauqua,37080,1127,53831,2145,10269,12
2012,Tompkins,55390,2463,72899,3506,7685,56
2012,Warren,46239,2013,67556,3166,2688,58
2012,Tioga,44303,1581,61742,2613,10555,55
2012,New York City - Manhattan,182733,12684,258889,17787,-12315,3
2012,Ulster,49482,2064,69752,3174,5316,57
2012,Saratoga,61330,2866,81068,3987,5405,47
2012,Ontario,53528,2309,72902,3503,9414,38
2012,Chenango,36268,1176,52387,2102,7622,14
2012,Niagara,42919,1686,59630,2692,8120,35
2012,Greene,45619,1936,65934,3108,6617,25
2012,Allegany,38145,1195,55925,2226,9828,8
2012,Livingston,43829,1602,59884,2546,9005,30
2012,Cattaraugus,37313,1206,54331,2203,8839,10
2012,Clinton,41780,1522,58177,2456,8415,15
2012,Essex,40776,1546,59849,2592,5699,21
2012,Otsego,41494,1569,59543,2622,7830,42
2012,Onondaga,52655,2178,72515,3417,9315,37
2012,Dutchess,62554,2795,83976,4000,7050,19
2012,"Total, New York City",74242,4069,116153,6859,5645,6
2012,Cortland,40702,1398,55878,2340,9379,17
2012,New York City - Richmond,56784,2297,79028,3512,8142,5
2012,Schoharie,38561,1363,56234,2332,5895,49
2012,Residence Unknown ++,201447,15823,353944,24154,-93189,66
2012,Lewis,38177,1182,53834,2136,9660,29
2012,Putnam,91134,4434,119386,5977,5520,43
2012,Schuyler,40058,1363,55977,2317,9571,50
2012,Chemung,44439,1648,63395,2785,9685,13
2012,Hamilton,34774,1206,53269,2125,5447,26
2012,Delaware,36329,1205,55170,2246,7402,18
2012,"Grand Total, Full-Year Resident",70266,3607,102986,5671,6014,67
2012,Jefferson,41045,1459,57837,2512,9714,28
2012,Oswego,40712,1447,56907,2403,8948,41
2012,Steuben,43122,1592,62338,2738,8682,52
2012,Albany,56959,2637,78035,3933,7757,7
2012,Genesee,40942,1469,55984,2339,8222,24
2012,Erie,50420,2165,69378,3330,8606,20
2012,Wyoming,40436,1358,54428,2235,9938,62
2012,Suffolk,74303,3722,100730,5289,6189,53
2012,Nassau,94591,5242,131659,7396,-810,34
2012,Westchester,139961,8419,193886,11873,3083,61
2012,Franklin,36688,1198,54413,2252,7984,22
2012,Wayne,42261,1488,57107,2384,10021,60
2012,Montgomery,36366,1122,52249,2103,9493,33
2012,Columbia,53609,2310,76838,3632,6921,16
2012,Herkimer,38947,1330,54640,2294,9469,27
2012,New York City - Bronx,30989,759,50298,2026,10455,1
2012,New York City - Queens,41215,1467,61247,2676,9556,4
2012,Rockland,71303,3005,103844,4691,4241,45
2012,Monroe,52128,2225,72014,3444,8505,32
2012,"Total, Counties Outside of New York City",67185,3252,94022,4866,6475,64
2012,Sullivan,42514,1479,62121,2626,8862,54
2012,Yates,36517,1112,52522,2112,10739,63
2012,Madison,46169,1735,63637,2808,8794,31
2013,New York City - Bronx,30536,722,49869,1982,10340,1
2013,New York City - Kings,47168,1862,72882,3514,9090,2
2013,New York City - Manhattan,177388,12056,247979,16799,-8090,3
2013,New York City - Queens,41792,1501,62258,2740,9446,4
2013,New York City - Richmond,56881,2327,79342,3557,7639,5
2013,"Total, New York City",73199,3926,113798,6628,6536,6
2013,Albany,55772,2483,76040,3709,8181,7
2013,Allegany,38567,1191,56852,2238,9789,8
2013,Fulton,38325,1242,54045,2202,10087,23
2013,Genesee,41516,1483,56592,2366,8566,24
2013,Greene,45387,1844,64994,2974,7624,25
2013,Hamilton,34150,1144,53844,2101,5393,26
2013,Herkimer,39452,1341,55401,2318,9554,27
2013,Jefferson,39865,1333,56820,2379,9972,28
2013,Lewis,38157,1166,54404,2119,9083,29
2013,Livingston,43334,1559,59350,2494,8584,30
2013,Madison,48006,1851,66064,2962,9089,31
2013,Monroe,52053,2198,71954,3411,8685,32
2013,Montgomery,39566,1362,57690,2526,9566,33
2013,Nassau,93494,5164,129182,7227,-1172,34
2013,Niagara,42287,1592,58755,2557,8320,35
2013,Oneida,41601,1487,59754,2597,9432,36
2013,Onondaga,51815,2087,71429,3320,9437,37
2013,Ontario,53444,2229,72335,3402,10681,38
2013,Orange,59279,2280,81030,3491,9784,39
2013,Orleans,37379,1155,51958,2057,10543,40
2013,Oswego,40640,1410,56962,2369,9296,41
2013,Otsego,42392,1606,61288,2710,7937,42
2013,Putnam,76788,3517,99659,4741,6829,43
2013,Rensselaer,48188,1888,65535,2894,8750,44
2013,Rockland,71667,2964,103238,4623,5767,45
2013,St. Lawrence,39837,1347,58041,2438,9276,46
2013,Saratoga,62571,2929,82761,4082,5759,47
2013,Schenectady,49269,1988,68162,3138,9244,48
2013,Schoharie,40258,1446,58199,2455,7269,49
2013,Schuyler,40281,1367,56485,2326,9018,50
2013,Seneca,39762,1308,56337,2326,10363,51
2013,Steuben,43752,1612,63470,2806,9300,52
2013,Suffolk,72061,3512,97112,4985,6764,53
2013,Sullivan,44822,1664,65776,2918,8949,54
2013,Tioga,43951,1497,61835,2524,10619,55
2013,Tompkins,55509,2391,72881,3427,8674,56
2013,Ulster,49269,2014,68937,3106,6724,57
2013,Warren,46172,1938,67186,3058,3173,58
2013,Washington,39196,1232,54896,2125,9440,59
2013,Wayne,42651,1500,57858,2415,9935,60
2013,Westchester,133746,7822,183837,11014,5387,61
2013,Wyoming,41143,1356,55321,2252,10773,62
2013,Yates,37282,1131,53525,2137,11073,63
2013,"Total, Counties Outside of New York City",66233,3144,92424,4712,6955,64
2013,NYS Unclassified +,80038,3830,109814,5478,7438,65
2013,Residence Unknown ++,142848,9953,286333,18901,-22376,66
2013,"Grand Total, Full-Year Resident",69279,3484,101138,5491,6719,67
