Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Other Non Hispanic
2006,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,351
2006,0,Total,0,Total,3,Other Non Hispanic,65,Yates,119
2007,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1440057
2007,0,Total,0,Total,3,Other Non Hispanic,2,New York City,1030857
2007,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,54166
2007,0,Total,0,Total,3,Other Non Hispanic,4,Kings,240294
2007,0,Total,0,Total,3,Other Non Hispanic,5,New York,185838
2007,0,Total,0,Total,3,Other Non Hispanic,6,Queens,513598
2007,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,36961
2007,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,409200
2007,0,Total,0,Total,3,Other Non Hispanic,9,Albany,12835
2007,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,710
2007,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7384
2007,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,2864
2007,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,742
2007,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1443
2007,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1290
2007,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,404
2007,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,1080
2007,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,1111
2007,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,509
2007,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,570
2007,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,10635
2007,0,Total,0,Total,3,Other Non Hispanic,22,Erie,24219
2007,0,Total,0,Total,3,Other Non Hispanic,23,Essex,423
2007,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,3547
2007,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,622
2007,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,934
2007,0,Total,0,Total,3,Other Non Hispanic,27,Greene,532
2007,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,26
2007,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,647
2007,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,2367
2007,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,187
2007,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,884
2007,0,Total,0,Total,3,Other Non Hispanic,33,Madison,992
2007,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,23912
2007,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,511
2007,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,93925
2007,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,4437
2007,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4210
2007,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,16709
2007,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1325
2007,0,Total,0,Total,3,Other Non Hispanic,41,Orange,10481
2007,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,394
2007,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1297
2007,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,854
2007,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,2227
2007,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,4287
2007,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,19770
2007,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,2182
2007,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,4209
2007,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,6562
2007,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,294
2007,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,177
2007,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,467
2007,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1429
2007,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,55124
2007,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1466
2007,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,570
2007,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,10880
2007,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3744
2007,0,Total,0,Total,3,Other Non Hispanic,60,Warren,700
2007,0,Total,0,Total,3,Other Non Hispanic,61,Washington,438
2007,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,852
2007,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,58354
2007,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,324
2007,0,Total,0,Total,3,Other Non Hispanic,65,Yates,132
2008,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1474667
2008,0,Total,0,Total,3,Other Non Hispanic,2,New York City,1054954
2008,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,55428
2008,0,Total,0,Total,3,Other Non Hispanic,4,Kings,247645
2008,0,Total,0,Total,3,Other Non Hispanic,5,New York,188580
2008,0,Total,0,Total,3,Other Non Hispanic,6,Queens,525253
2008,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,38048
2008,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,419713
2008,0,Total,0,Total,3,Other Non Hispanic,9,Albany,13004
2008,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,680
2008,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7398
2008,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,3053
2008,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,744
2008,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1431
2008,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1288
2008,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,385
2008,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,1072
2008,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,1135
2008,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,521
2008,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,562
2008,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,10683
2008,0,Total,0,Total,3,Other Non Hispanic,22,Erie,24407
2008,0,Total,0,Total,3,Other Non Hispanic,23,Essex,411
2008,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,3649
2008,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,643
2008,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,934
2008,0,Total,0,Total,3,Other Non Hispanic,27,Greene,549
2008,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,25
2008,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,649
2008,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,2444
2008,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,159
2008,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,926
2008,0,Total,0,Total,3,Other Non Hispanic,33,Madison,996
2008,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,23882
2008,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,488
2008,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,99541
2008,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,4614
2008,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4270
2008,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,16649
2008,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1382
2008,0,Total,0,Total,3,Other Non Hispanic,41,Orange,10616
2008,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,397
2008,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1316
2008,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,848
2008,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,2265
2008,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,4213
2008,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,20015
2008,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,2221
2008,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,4340
2008,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,6815
2008,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,299
2008,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,156
2008,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,436
2008,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1391
2008,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,57568
2008,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1450
2008,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,540
2008,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,10840
2008,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3765
2008,0,Total,0,Total,3,Other Non Hispanic,60,Warren,744
2008,0,Total,0,Total,3,Other Non Hispanic,61,Washington,432
2008,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,865
2008,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,59158
2008,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,319
2008,0,Total,0,Total,3,Other Non Hispanic,65,Yates,130
2009,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1491528
2009,0,Total,0,Total,3,Other Non Hispanic,2,New York City,1065795
2009,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,55828
2009,0,Total,0,Total,3,Other Non Hispanic,4,Kings,254822
2009,0,Total,0,Total,3,Other Non Hispanic,5,New York,182772
2009,0,Total,0,Total,3,Other Non Hispanic,6,Queens,533993
2009,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,38380
2009,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,425733
2009,0,Total,0,Total,3,Other Non Hispanic,9,Albany,13317
2009,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,681
2009,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7142
2009,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,3002
2009,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,763
2009,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1460
2009,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1241
2009,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,384
2009,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,1011
2009,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,1095
2009,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,483
2009,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,536
2009,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,10907
2009,0,Total,0,Total,3,Other Non Hispanic,22,Erie,24433
2009,0,Total,0,Total,3,Other Non Hispanic,23,Essex,377
2009,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,3677
2009,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,604
2009,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,943
2009,0,Total,0,Total,3,Other Non Hispanic,27,Greene,508
2009,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,27
2009,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,607
2009,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,2333
2009,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,166
2009,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,901
2009,0,Total,0,Total,3,Other Non Hispanic,33,Madison,989
2009,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,24025
2009,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,471
2009,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,102693
2009,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,4715
2009,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4302
2009,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,16771
2009,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1535
2009,0,Total,0,Total,3,Other Non Hispanic,41,Orange,11015
2009,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,407
2009,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1363
2009,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,820
2009,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,2362
2009,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,4021
2009,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,20033
2009,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,2186
2009,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,4544
2009,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,6886
2009,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,289
2009,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,154
2009,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,449
2009,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1482
2009,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,58527
2009,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1521
2009,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,494
2009,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,10180
2009,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3748
2009,0,Total,0,Total,3,Other Non Hispanic,60,Warren,710
2009,0,Total,0,Total,3,Other Non Hispanic,61,Washington,421
2009,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,898
2009,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,60673
2009,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,319
2009,0,Total,0,Total,3,Other Non Hispanic,65,Yates,132
2010,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1572211
2010,0,Total,0,Total,3,Other Non Hispanic,2,New York City,1121809
2010,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,57594
2010,0,Total,0,Total,3,Other Non Hispanic,4,Kings,277873
2010,0,Total,0,Total,3,Other Non Hispanic,5,New York,188987
2010,0,Total,0,Total,3,Other Non Hispanic,6,Queens,560063
2010,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,37292
2010,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,450402
2010,0,Total,0,Total,3,Other Non Hispanic,9,Albany,15924
2010,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,606
2010,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7917
2010,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,3163
2010,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,747
2010,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1450
2010,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1388
2010,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,398
2010,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,1290
2010,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,1186
2010,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,608
2010,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,506
2010,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,11647
2010,0,Total,0,Total,3,Other Non Hispanic,22,Erie,31110
2010,0,Total,0,Total,3,Other Non Hispanic,23,Essex,403
2010,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,4165
2010,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,466
2010,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,1114
2010,0,Total,0,Total,3,Other Non Hispanic,27,Greene,578
2010,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,39
2010,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,499
2010,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,2593
2010,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,139
2010,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,1072
2010,0,Total,0,Total,3,Other Non Hispanic,33,Madison,1149
2010,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,27808
2010,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,488
2010,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,109840
2010,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,4592
2010,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,7503
2010,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,19282
2010,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1566
2010,0,Total,0,Total,3,Other Non Hispanic,41,Orange,10720
2010,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,442
2010,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1365
2010,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,866
2010,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,2218
2010,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,4114
2010,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,20875
2010,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,2400
2010,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,4718
2010,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,6974
2010,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,303
2010,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,107
2010,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,360
2010,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1479
2010,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,58047
2010,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1433
2010,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,496
2010,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,9458
2010,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3938
2010,0,Total,0,Total,3,Other Non Hispanic,60,Warren,629
2010,0,Total,0,Total,3,Other Non Hispanic,61,Washington,409
2010,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,850
2010,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,56547
2010,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,279
