Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Female
2003,0,Total,2,Female,0,Total,1,New York State,9913690
2003,0,Total,2,Female,0,Total,2,New York City,4242166
2003,0,Total,2,Female,0,Total,3,Bronx,725479
2003,0,Total,2,Female,0,Total,4,Kings,1309827
2003,0,Total,2,Female,0,Total,5,New York,819531
2003,0,Total,2,Female,0,Total,6,Queens,1150488
2003,0,Total,2,Female,0,Total,7,Richmond,236841
2003,0,Total,2,Female,0,Total,8,Rest of State,5671524
2003,0,Total,2,Female,0,Total,9,Albany,154853
2003,0,Total,2,Female,0,Total,10,Allegany,25297
2003,0,Total,2,Female,0,Total,11,Broome,102959
2003,0,Total,2,Female,0,Total,12,Cattaraugus,42456
2003,0,Total,2,Female,0,Total,13,Cayuga,40515
2003,0,Total,2,Female,0,Total,14,Chautauqua,70460
2003,0,Total,2,Female,0,Total,15,Chemung,45778
2003,0,Total,2,Female,0,Total,16,Chenango,26171
2003,0,Total,2,Female,0,Total,17,Clinton,39793
2003,0,Total,2,Female,0,Total,18,Columbia,31803
2003,0,Total,2,Female,0,Total,19,Cortland,25147
2003,0,Total,2,Female,0,Total,20,Delaware,23930
2003,0,Total,2,Female,0,Total,21,Dutchess,145551
2003,0,Total,2,Female,0,Total,22,Erie,489846
2003,0,Total,2,Female,0,Total,23,Essex,18752
2003,0,Total,2,Female,0,Total,24,Franklin,23137
2003,0,Total,2,Female,0,Total,25,Fulton,28072
2003,0,Total,2,Female,0,Total,26,Genesee,30554
2003,0,Total,2,Female,0,Total,27,Greene,23694
2003,0,Total,2,Female,0,Total,28,Hamilton,2665
2003,0,Total,2,Female,0,Total,29,Herkimer,32764
2003,0,Total,2,Female,0,Total,30,Jefferson,55084
2003,0,Total,2,Female,0,Total,31,Lewis,13418
2003,0,Total,2,Female,0,Total,32,Livingston,32309
2003,0,Total,2,Female,0,Total,33,Madison,35754
2003,0,Total,2,Female,0,Total,34,Monroe,380925
2003,0,Total,2,Female,0,Total,35,Montgomery,25651
2003,0,Total,2,Female,0,Total,36,Nassau,692379
2003,0,Total,2,Female,0,Total,37,Niagara,112652
2003,0,Total,2,Female,0,Total,38,Oneida,117678
2003,0,Total,2,Female,0,Total,39,Onondaga,239711
2003,0,Total,2,Female,0,Total,40,Ontario,52322
2003,0,Total,2,Female,0,Total,41,Orange,180958
2003,0,Total,2,Female,0,Total,42,Orleans,21974
2003,0,Total,2,Female,0,Total,43,Oswego,62468
2003,0,Total,2,Female,0,Total,44,Otsego,32175
2003,0,Total,2,Female,0,Total,45,Putnam,49712
2003,0,Total,2,Female,0,Total,46,Rensselaer,78253
2003,0,Total,2,Female,0,Total,47,Rockland,149336
2003,0,Total,2,Female,0,Total,48,St Lawrence,55017
2003,0,Total,2,Female,0,Total,49,Saratoga,106292
2003,0,Total,2,Female,0,Total,50,Schenectady,76267
2003,0,Total,2,Female,0,Total,51,Schoharie,15917
2003,0,Total,2,Female,0,Total,52,Schuyler,9712
2003,0,Total,2,Female,0,Total,53,Seneca,16914
2003,0,Total,2,Female,0,Total,54,Steuben,50524
2003,0,Total,2,Female,0,Total,55,Suffolk,747191
2003,0,Total,2,Female,0,Total,56,Sullivan,36940
2003,0,Total,2,Female,0,Total,57,Tioga,26138
2003,0,Total,2,Female,0,Total,58,Tompkins,50991
2003,0,Total,2,Female,0,Total,59,Ulster,91095
2003,0,Total,2,Female,0,Total,60,Warren,33270
2003,0,Total,2,Female,0,Total,61,Washington,30028
2003,0,Total,2,Female,0,Total,62,Wayne,47524
2003,0,Total,2,Female,0,Total,63,Westchester,488335
2003,0,Total,2,Female,0,Total,64,Wyoming,19725
2003,0,Total,2,Female,0,Total,65,Yates,12688
2004,0,Total,2,Female,0,Total,1,New York State,9922507
2004,0,Total,2,Female,0,Total,2,New York City,4248681
2004,0,Total,2,Female,0,Total,3,Bronx,725800
2004,0,Total,2,Female,0,Total,4,Kings,1310347
2004,0,Total,2,Female,0,Total,5,New York,819535
2004,0,Total,2,Female,0,Total,6,Queens,1154678
2004,0,Total,2,Female,0,Total,7,Richmond,238321
2004,0,Total,2,Female,0,Total,8,Rest of State,5673826
2004,0,Total,2,Female,0,Total,9,Albany,155083
2004,0,Total,2,Female,0,Total,10,Allegany,25223
2004,0,Total,2,Female,0,Total,11,Broome,102117
2004,0,Total,2,Female,0,Total,12,Cattaraugus,42313
2004,0,Total,2,Female,0,Total,13,Cayuga,40399
2004,0,Total,2,Female,0,Total,14,Chautauqua,70085
2004,0,Total,2,Female,0,Total,15,Chemung,45604
2004,0,Total,2,Female,0,Total,16,Chenango,26353
2004,0,Total,2,Female,0,Total,17,Clinton,40065
2004,0,Total,2,Female,0,Total,18,Columbia,32038
2004,0,Total,2,Female,0,Total,19,Cortland,25333
2004,0,Total,2,Female,0,Total,20,Delaware,24004
2004,0,Total,2,Female,0,Total,21,Dutchess,146672
2004,0,Total,2,Female,0,Total,22,Erie,486919
2004,0,Total,2,Female,0,Total,23,Essex,18657
2004,0,Total,2,Female,0,Total,24,Franklin,23051
2004,0,Total,2,Female,0,Total,25,Fulton,28182
2004,0,Total,2,Female,0,Total,26,Genesee,30253
2004,0,Total,2,Female,0,Total,27,Greene,23826
2004,0,Total,2,Female,0,Total,28,Hamilton,2661
2004,0,Total,2,Female,0,Total,29,Herkimer,32796
2004,0,Total,2,Female,0,Total,30,Jefferson,53929
2004,0,Total,2,Female,0,Total,31,Lewis,13377
2004,0,Total,2,Female,0,Total,32,Livingston,32398
2004,0,Total,2,Female,0,Total,33,Madison,35848
2004,0,Total,2,Female,0,Total,34,Monroe,379472
2004,0,Total,2,Female,0,Total,35,Montgomery,25553
2004,0,Total,2,Female,0,Total,36,Nassau,690914
2004,0,Total,2,Female,0,Total,37,Niagara,112769
2004,0,Total,2,Female,0,Total,38,Oneida,117901
2004,0,Total,2,Female,0,Total,39,Onondaga,239084
2004,0,Total,2,Female,0,Total,40,Ontario,52843
2004,0,Total,2,Female,0,Total,41,Orange,183990
2004,0,Total,2,Female,0,Total,42,Orleans,22200
2004,0,Total,2,Female,0,Total,43,Oswego,62706
2004,0,Total,2,Female,0,Total,44,Otsego,32429
2004,0,Total,2,Female,0,Total,45,Putnam,50155
2004,0,Total,2,Female,0,Total,46,Rensselaer,78307
2004,0,Total,2,Female,0,Total,47,Rockland,149211
2004,0,Total,2,Female,0,Total,48,St Lawrence,54902
2004,0,Total,2,Female,0,Total,49,Saratoga,107815
2004,0,Total,2,Female,0,Total,50,Schenectady,76383
2004,0,Total,2,Female,0,Total,51,Schoharie,16107
2004,0,Total,2,Female,0,Total,52,Schuyler,9699
2004,0,Total,2,Female,0,Total,53,Seneca,16913
2004,0,Total,2,Female,0,Total,54,Steuben,50380
2004,0,Total,2,Female,0,Total,55,Suffolk,749401
2004,0,Total,2,Female,0,Total,56,Sullivan,37435
2004,0,Total,2,Female,0,Total,57,Tioga,26037
2004,0,Total,2,Female,0,Total,58,Tompkins,50132
2004,0,Total,2,Female,0,Total,59,Ulster,91251
2004,0,Total,2,Female,0,Total,60,Warren,33487
2004,0,Total,2,Female,0,Total,61,Washington,30462
2004,0,Total,2,Female,0,Total,62,Wayne,47442
2004,0,Total,2,Female,0,Total,63,Westchester,488991
2004,0,Total,2,Female,0,Total,64,Wyoming,19637
2004,0,Total,2,Female,0,Total,65,Yates,12632
2005,0,Total,2,Female,0,Total,1,New York State,9927578
2005,0,Total,2,Female,0,Total,2,New York City,4266752
2005,0,Total,2,Female,0,Total,3,Bronx,721457
2005,0,Total,2,Female,0,Total,4,Kings,1315420
2005,0,Total,2,Female,0,Total,5,New York,836140
2005,0,Total,2,Female,0,Total,6,Queens,1154760
2005,0,Total,2,Female,0,Total,7,Richmond,238975
2005,0,Total,2,Female,0,Total,8,Rest of State,5660826
2005,0,Total,2,Female,0,Total,9,Albany,154244
2005,0,Total,2,Female,0,Total,10,Allegany,25171
2005,0,Total,2,Female,0,Total,11,Broome,101551
2005,0,Total,2,Female,0,Total,12,Cattaraugus,41958
2005,0,Total,2,Female,0,Total,13,Cayuga,40199
2005,0,Total,2,Female,0,Total,14,Chautauqua,69460
2005,0,Total,2,Female,0,Total,15,Chemung,45172
2005,0,Total,2,Female,0,Total,16,Chenango,26260
2005,0,Total,2,Female,0,Total,17,Clinton,40232
2005,0,Total,2,Female,0,Total,18,Columbia,31975
2005,0,Total,2,Female,0,Total,19,Cortland,25246
2005,0,Total,2,Female,0,Total,20,Delaware,24041
2005,0,Total,2,Female,0,Total,21,Dutchess,147167
2005,0,Total,2,Female,0,Total,22,Erie,483463
2005,0,Total,2,Female,0,Total,23,Essex,18580
2005,0,Total,2,Female,0,Total,24,Franklin,23004
2005,0,Total,2,Female,0,Total,25,Fulton,28235
2005,0,Total,2,Female,0,Total,26,Genesee,29902
2005,0,Total,2,Female,0,Total,27,Greene,24069
2005,0,Total,2,Female,0,Total,28,Hamilton,2652
2005,0,Total,2,Female,0,Total,29,Herkimer,32791
2005,0,Total,2,Female,0,Total,30,Jefferson,56269
2005,0,Total,2,Female,0,Total,31,Lewis,13323
2005,0,Total,2,Female,0,Total,32,Livingston,32246
2005,0,Total,2,Female,0,Total,33,Madison,35710
2005,0,Total,2,Female,0,Total,34,Monroe,377592
2005,0,Total,2,Female,0,Total,35,Montgomery,25407
2005,0,Total,2,Female,0,Total,36,Nassau,687016
2005,0,Total,2,Female,0,Total,37,Niagara,112076
2005,0,Total,2,Female,0,Total,38,Oneida,117187
2005,0,Total,2,Female,0,Total,39,Onondaga,237760
2005,0,Total,2,Female,0,Total,40,Ontario,53274
2005,0,Total,2,Female,0,Total,41,Orange,185152
2005,0,Total,2,Female,0,Total,42,Orleans,21915
2005,0,Total,2,Female,0,Total,43,Oswego,62243
2005,0,Total,2,Female,0,Total,44,Otsego,32593
2005,0,Total,2,Female,0,Total,45,Putnam,50086
2005,0,Total,2,Female,0,Total,46,Rensselaer,78511
2005,0,Total,2,Female,0,Total,47,Rockland,148924
2005,0,Total,2,Female,0,Total,48,St Lawrence,54864
2005,0,Total,2,Female,0,Total,49,Saratoga,108752
2005,0,Total,2,Female,0,Total,50,Schenectady,76948
2005,0,Total,2,Female,0,Total,51,Schoharie,16259
2005,0,Total,2,Female,0,Total,52,Schuyler,9652
2005,0,Total,2,Female,0,Total,53,Seneca,16738
2005,0,Total,2,Female,0,Total,54,Steuben,50303
2005,0,Total,2,Female,0,Total,55,Suffolk,747432
2005,0,Total,2,Female,0,Total,56,Sullivan,37663
2005,0,Total,2,Female,0,Total,57,Tioga,25958
2005,0,Total,2,Female,0,Total,58,Tompkins,50151
2005,0,Total,2,Female,0,Total,59,Ulster,91626
2005,0,Total,2,Female,0,Total,60,Warren,33597
2005,0,Total,2,Female,0,Total,61,Washington,30496
2005,0,Total,2,Female,0,Total,62,Wayne,47425
2005,0,Total,2,Female,0,Total,63,Westchester,488171
2005,0,Total,2,Female,0,Total,64,Wyoming,19441
2005,0,Total,2,Female,0,Total,65,Yates,12694
2006,0,Total,2,Female,0,Total,1,New York State,9951163
2006,0,Total,2,Female,0,Total,2,New York City,4299426
2006,0,Total,2,Female,0,Total,3,Bronx,724145
2006,0,Total,2,Female,0,Total,4,Kings,1325336
2006,0,Total,2,Female,0,Total,5,New York,843855
2006,0,Total,2,Female,0,Total,6,Queens,1160584
2006,0,Total,2,Female,0,Total,7,Richmond,245506
2006,0,Total,2,Female,0,Total,8,Rest of State,5651737
2006,0,Total,2,Female,0,Total,9,Albany,154655
2006,0,Total,2,Female,0,Total,10,Allegany,25016
2006,0,Total,2,Female,0,Total,11,Broome,101307
2006,0,Total,2,Female,0,Total,12,Cattaraugus,41478
2006,0,Total,2,Female,0,Total,13,Cayuga,40196
2006,0,Total,2,Female,0,Total,14,Chautauqua,68911
2006,0,Total,2,Female,0,Total,15,Chemung,44755
2006,0,Total,2,Female,0,Total,16,Chenango,26231
2006,0,Total,2,Female,0,Total,17,Clinton,40286
2006,0,Total,2,Female,0,Total,18,Columbia,31584
2006,0,Total,2,Female,0,Total,19,Cortland,25119
2006,0,Total,2,Female,0,Total,20,Delaware,23867
2006,0,Total,2,Female,0,Total,21,Dutchess,147317
2006,0,Total,2,Female,0,Total,22,Erie,478247
2006,0,Total,2,Female,0,Total,23,Essex,18594
2006,0,Total,2,Female,0,Total,24,Franklin,23017
2006,0,Total,2,Female,0,Total,25,Fulton,28085
2006,0,Total,2,Female,0,Total,26,Genesee,29716
2006,0,Total,2,Female,0,Total,27,Greene,24023
2006,0,Total,2,Female,0,Total,28,Hamilton,2581
2006,0,Total,2,Female,0,Total,29,Herkimer,32569
2006,0,Total,2,Female,0,Total,30,Jefferson,56078
2006,0,Total,2,Female,0,Total,31,Lewis,13377
2006,0,Total,2,Female,0,Total,32,Livingston,32124
2006,0,Total,2,Female,0,Total,33,Madison,35796
2006,0,Total,2,Female,0,Total,34,Monroe,376507
2006,0,Total,2,Female,0,Total,35,Montgomery,25437
2006,0,Total,2,Female,0,Total,36,Nassau,682346
2006,0,Total,2,Female,0,Total,37,Niagara,111612
2006,0,Total,2,Female,0,Total,38,Oneida,117370
2006,0,Total,2,Female,0,Total,39,Onondaga,237178
2006,0,Total,2,Female,0,Total,40,Ontario,53185
2006,0,Total,2,Female,0,Total,41,Orange,187243
2006,0,Total,2,Female,0,Total,42,Orleans,21766
2006,0,Total,2,Female,0,Total,43,Oswego,62215
2006,0,Total,2,Female,0,Total,44,Otsego,32532
2006,0,Total,2,Female,0,Total,45,Putnam,50077
2006,0,Total,2,Female,0,Total,46,Rensselaer,78823
2006,0,Total,2,Female,0,Total,47,Rockland,149929
2006,0,Total,2,Female,0,Total,48,St Lawrence,54982
2006,0,Total,2,Female,0,Total,49,Saratoga,109044
2006,0,Total,2,Female,0,Total,50,Schenectady,77464
2006,0,Total,2,Female,0,Total,51,Schoharie,16239
2006,0,Total,2,Female,0,Total,52,Schuyler,9697
2006,0,Total,2,Female,0,Total,53,Seneca,16714
2006,0,Total,2,Female,0,Total,54,Steuben,50130
2006,0,Total,2,Female,0,Total,55,Suffolk,745257
2006,0,Total,2,Female,0,Total,56,Sullivan,37701
2006,0,Total,2,Female,0,Total,57,Tioga,25899
2006,0,Total,2,Female,0,Total,58,Tompkins,50287
2006,0,Total,2,Female,0,Total,59,Ulster,91744
2006,0,Total,2,Female,0,Total,60,Warren,33862
2006,0,Total,2,Female,0,Total,61,Washington,30747
2006,0,Total,2,Female,0,Total,62,Wayne,46966
2006,0,Total,2,Female,0,Total,63,Westchester,491722
2006,0,Total,2,Female,0,Total,64,Wyoming,19419
2006,0,Total,2,Female,0,Total,65,Yates,12714
2007,0,Total,2,Female,0,Total,1,New York State,9936993
2007,0,Total,2,Female,0,Total,2,New York City,4325484
2007,0,Total,2,Female,0,Total,3,Bronx,730598
2007,0,Total,2,Female,0,Total,4,Kings,1334217
2007,0,Total,2,Female,0,Total,5,New York,846052
2007,0,Total,2,Female,0,Total,6,Queens,1167363
2007,0,Total,2,Female,0,Total,7,Richmond,247254
2007,0,Total,2,Female,0,Total,8,Rest of State,5611509
2007,0,Total,2,Female,0,Total,9,Albany,155208
2007,0,Total,2,Female,0,Total,10,Allegany,24700
2007,0,Total,2,Female,0,Total,11,Broome,100988
2007,0,Total,2,Female,0,Total,12,Cattaraugus,40742
2007,0,Total,2,Female,0,Total,13,Cayuga,39547
2007,0,Total,2,Female,0,Total,14,Chautauqua,68188
2007,0,Total,2,Female,0,Total,15,Chemung,44326
2007,0,Total,2,Female,0,Total,16,Chenango,25914
2007,0,Total,2,Female,0,Total,17,Clinton,40201
2007,0,Total,2,Female,0,Total,18,Columbia,31257
2007,0,Total,2,Female,0,Total,19,Cortland,25049
2007,0,Total,2,Female,0,Total,20,Delaware,23476
2007,0,Total,2,Female,0,Total,21,Dutchess,145909
2007,0,Total,2,Female,0,Total,22,Erie,473494
2007,0,Total,2,Female,0,Total,23,Essex,18314
2007,0,Total,2,Female,0,Total,24,Franklin,22765
2007,0,Total,2,Female,0,Total,25,Fulton,27942
2007,0,Total,2,Female,0,Total,26,Genesee,29309
2007,0,Total,2,Female,0,Total,27,Greene,23796
2007,0,Total,2,Female,0,Total,28,Hamilton,2555
2007,0,Total,2,Female,0,Total,29,Herkimer,32070
2007,0,Total,2,Female,0,Total,30,Jefferson,57512
2007,0,Total,2,Female,0,Total,31,Lewis,13238
2007,0,Total,2,Female,0,Total,32,Livingston,31573
2007,0,Total,2,Female,0,Total,33,Madison,35521
2007,0,Total,2,Female,0,Total,34,Monroe,375770
2007,0,Total,2,Female,0,Total,35,Montgomery,25242
2007,0,Total,2,Female,0,Total,36,Nassau,672011
2007,0,Total,2,Female,0,Total,37,Niagara,110775
2007,0,Total,2,Female,0,Total,38,Oneida,116390
2007,0,Total,2,Female,0,Total,39,Onondaga,235551
2007,0,Total,2,Female,0,Total,40,Ontario,52910
2007,0,Total,2,Female,0,Total,41,Orange,187654
2007,0,Total,2,Female,0,Total,42,Orleans,21353
2007,0,Total,2,Female,0,Total,43,Oswego,61318
2007,0,Total,2,Female,0,Total,44,Otsego,32439
2007,0,Total,2,Female,0,Total,45,Putnam,49428
2007,0,Total,2,Female,0,Total,46,Rensselaer,78710
2007,0,Total,2,Female,0,Total,47,Rockland,150500
2007,0,Total,2,Female,0,Total,48,St Lawrence,54173
2007,0,Total,2,Female,0,Total,49,Saratoga,109043
2007,0,Total,2,Female,0,Total,50,Schenectady,77592
2007,0,Total,2,Female,0,Total,51,Schoharie,16147
2007,0,Total,2,Female,0,Total,52,Schuyler,9505
2007,0,Total,2,Female,0,Total,53,Seneca,16461
2007,0,Total,2,Female,0,Total,54,Steuben,49380
2007,0,Total,2,Female,0,Total,55,Suffolk,736403
2007,0,Total,2,Female,0,Total,56,Sullivan,37612
2007,0,Total,2,Female,0,Total,57,Tioga,25490
2007,0,Total,2,Female,0,Total,58,Tompkins,50443
2007,0,Total,2,Female,0,Total,59,Ulster,91116
2007,0,Total,2,Female,0,Total,60,Warren,33833
2007,0,Total,2,Female,0,Total,61,Washington,30452
2007,0,Total,2,Female,0,Total,62,Wayne,46206
2007,0,Total,2,Female,0,Total,63,Westchester,492342
2007,0,Total,2,Female,0,Total,64,Wyoming,19081
2007,0,Total,2,Female,0,Total,65,Yates,12585
2008,0,Total,2,Female,0,Total,1,New York State,10028234
2008,0,Total,2,Female,0,Total,2,New York City,4368501
2008,0,Total,2,Female,0,Total,3,Bronx,739870
2008,0,Total,2,Female,0,Total,4,Kings,1348142
2008,0,Total,2,Female,0,Total,5,New York,852505
2008,0,Total,2,Female,0,Total,6,Queens,1177994
2008,0,Total,2,Female,0,Total,7,Richmond,249990
2008,0,Total,2,Female,0,Total,8,Rest of State,5659733
2008,0,Total,2,Female,0,Total,9,Albany,154553
2008,0,Total,2,Female,0,Total,10,Allegany,24695
2008,0,Total,2,Female,0,Total,11,Broome,100508
2008,0,Total,2,Female,0,Total,12,Cattaraugus,40551
2008,0,Total,2,Female,0,Total,13,Cayuga,39432
2008,0,Total,2,Female,0,Total,14,Chautauqua,68006
2008,0,Total,2,Female,0,Total,15,Chemung,44160
2008,0,Total,2,Female,0,Total,16,Chenango,25777
2008,0,Total,2,Female,0,Total,17,Clinton,40113
2008,0,Total,2,Female,0,Total,18,Columbia,31055
2008,0,Total,2,Female,0,Total,19,Cortland,25035
2008,0,Total,2,Female,0,Total,20,Delaware,23416
2008,0,Total,2,Female,0,Total,21,Dutchess,146037
2008,0,Total,2,Female,0,Total,22,Erie,471480
2008,0,Total,2,Female,0,Total,23,Essex,18199
2008,0,Total,2,Female,0,Total,24,Franklin,22773
2008,0,Total,2,Female,0,Total,25,Fulton,27894
2008,0,Total,2,Female,0,Total,26,Genesee,29091
2008,0,Total,2,Female,0,Total,27,Greene,23662
2008,0,Total,2,Female,0,Total,28,Hamilton,2529
2008,0,Total,2,Female,0,Total,29,Herkimer,31872
2008,0,Total,2,Female,0,Total,30,Jefferson,57599
2008,0,Total,2,Female,0,Total,31,Lewis,13103
2008,0,Total,2,Female,0,Total,32,Livingston,31561
2008,0,Total,2,Female,0,Total,33,Madison,35482
2008,0,Total,2,Female,0,Total,34,Monroe,377041
2008,0,Total,2,Female,0,Total,35,Montgomery,25208
2008,0,Total,2,Female,0,Total,36,Nassau,694107
2008,0,Total,2,Female,0,Total,37,Niagara,110622
2008,0,Total,2,Female,0,Total,38,Oneida,115865
2008,0,Total,2,Female,0,Total,39,Onondaga,234639
2008,0,Total,2,Female,0,Total,40,Ontario,53145
2008,0,Total,2,Female,0,Total,41,Orange,188716
2008,0,Total,2,Female,0,Total,42,Orleans,21214
2008,0,Total,2,Female,0,Total,43,Oswego,61314
2008,0,Total,2,Female,0,Total,44,Otsego,32177
2008,0,Total,2,Female,0,Total,45,Putnam,49310
2008,0,Total,2,Female,0,Total,46,Rensselaer,78618
2008,0,Total,2,Female,0,Total,47,Rockland,151363
2008,0,Total,2,Female,0,Total,48,St Lawrence,54147
2008,0,Total,2,Female,0,Total,49,Saratoga,109624
2008,0,Total,2,Female,0,Total,50,Schenectady,77897
2008,0,Total,2,Female,0,Total,51,Schoharie,16061
2008,0,Total,2,Female,0,Total,52,Schuyler,9424
2008,0,Total,2,Female,0,Total,53,Seneca,16355
2008,0,Total,2,Female,0,Total,54,Steuben,49212
2008,0,Total,2,Female,0,Total,55,Suffolk,765371
2008,0,Total,2,Female,0,Total,56,Sullivan,37569
2008,0,Total,2,Female,0,Total,57,Tioga,25366
2008,0,Total,2,Female,0,Total,58,Tompkins,50504
2008,0,Total,2,Female,0,Total,59,Ulster,91037
2008,0,Total,2,Female,0,Total,60,Warren,33728
2008,0,Total,2,Female,0,Total,61,Washington,30446
2008,0,Total,2,Female,0,Total,62,Wayne,46324
2008,0,Total,2,Female,0,Total,63,Westchester,493164
