Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Male
2003,0,Total,1,Male,0,Total,1,New York State,9276425
2003,0,Total,1,Male,0,Total,2,New York City,3843576
2003,0,Total,1,Male,0,Total,3,Bronx,637719
2003,0,Total,1,Male,0,Total,4,Kings,1162696
2003,0,Total,1,Male,0,Total,5,New York,745267
2003,0,Total,1,Male,0,Total,6,Queens,1074998
2003,0,Total,1,Male,0,Total,7,Richmond,222896
2003,0,Total,1,Male,0,Total,8,Rest of State,5432849
2003,0,Total,1,Male,0,Total,9,Albany,142992
2003,0,Total,1,Male,0,Total,10,Allegany,25265
2003,0,Total,1,Male,0,Total,11,Broome,96401
2003,0,Total,1,Male,0,Total,12,Cattaraugus,40898
2003,0,Total,1,Male,0,Total,13,Cayuga,41211
2003,0,Total,1,Male,0,Total,14,Chautauqua,67185
2003,0,Total,1,Male,0,Total,15,Chemung,44635
2003,0,Total,1,Male,0,Total,16,Chenango,25488
2003,0,Total,1,Male,0,Total,17,Clinton,41573
2003,0,Total,1,Male,0,Total,18,Columbia,31602
2003,0,Total,1,Male,0,Total,19,Cortland,23544
2003,0,Total,1,Male,0,Total,20,Delaware,23296
2003,0,Total,1,Male,0,Total,21,Dutchess,145334
2003,0,Total,1,Male,0,Total,22,Erie,451447
2003,0,Total,1,Male,0,Total,23,Essex,20240
2003,0,Total,1,Male,0,Total,24,Franklin,27919
2003,0,Total,1,Male,0,Total,25,Fulton,27134
2003,0,Total,1,Male,0,Total,26,Genesee,29466
2003,0,Total,1,Male,0,Total,27,Greene,25171
2003,0,Total,1,Male,0,Total,28,Hamilton,2613
2003,0,Total,1,Male,0,Total,29,Herkimer,30940
2003,0,Total,1,Male,0,Total,30,Jefferson,59567
2003,0,Total,1,Male,0,Total,31,Lewis,13218
2003,0,Total,1,Male,0,Total,32,Livingston,32349
2003,0,Total,1,Male,0,Total,33,Madison,34428
2003,0,Total,1,Male,0,Total,34,Monroe,355813
2003,0,Total,1,Male,0,Total,35,Montgomery,23720
2003,0,Total,1,Male,0,Total,36,Nassau,647084
2003,0,Total,1,Male,0,Total,37,Niagara,105498
2003,0,Total,1,Male,0,Total,38,Oneida,116695
2003,0,Total,1,Male,0,Total,39,Onondaga,220806
2003,0,Total,1,Male,0,Total,40,Ontario,50123
2003,0,Total,1,Male,0,Total,41,Orange,182195
2003,0,Total,1,Male,0,Total,42,Orleans,21655
2003,0,Total,1,Male,0,Total,43,Oswego,61027
2003,0,Total,1,Male,0,Total,44,Otsego,30021
2003,0,Total,1,Male,0,Total,45,Putnam,49838
2003,0,Total,1,Male,0,Total,46,Rensselaer,75754
2003,0,Total,1,Male,0,Total,47,Rockland,143653
2003,0,Total,1,Male,0,Total,48,St Lawrence,56638
2003,0,Total,1,Male,0,Total,49,Saratoga,103526
2003,0,Total,1,Male,0,Total,50,Schenectady,71022
2003,0,Total,1,Male,0,Total,51,Schoharie,15768
2003,0,Total,1,Male,0,Total,52,Schuyler,9743
2003,0,Total,1,Male,0,Total,53,Seneca,18269
2003,0,Total,1,Male,0,Total,54,Steuben,48488
2003,0,Total,1,Male,0,Total,55,Suffolk,720846
2003,0,Total,1,Male,0,Total,56,Sullivan,38008
2003,0,Total,1,Male,0,Total,57,Tioga,25608
2003,0,Total,1,Male,0,Total,58,Tompkins,50420
2003,0,Total,1,Male,0,Total,59,Ulster,90016
2003,0,Total,1,Male,0,Total,60,Warren,31445
2003,0,Total,1,Male,0,Total,61,Washington,31844
2003,0,Total,1,Male,0,Total,62,Wayne,46204
2003,0,Total,1,Male,0,Total,63,Westchester,451967
2003,0,Total,1,Male,0,Total,64,Wyoming,23207
2003,0,Total,1,Male,0,Total,65,Yates,12032
2004,0,Total,1,Male,0,Total,1,New York State,9304581
2004,0,Total,1,Male,0,Total,2,New York City,3855398
2004,0,Total,1,Male,0,Total,3,Bronx,639736
2004,0,Total,1,Male,0,Total,4,Kings,1164943
2004,0,Total,1,Male,0,Total,5,New York,743188
2004,0,Total,1,Male,0,Total,6,Queens,1082538
2004,0,Total,1,Male,0,Total,7,Richmond,224993
2004,0,Total,1,Male,0,Total,8,Rest of State,5449183
2004,0,Total,1,Male,0,Total,9,Albany,143349
2004,0,Total,1,Male,0,Total,10,Allegany,25352
2004,0,Total,1,Male,0,Total,11,Broome,95579
2004,0,Total,1,Male,0,Total,12,Cattaraugus,40866
2004,0,Total,1,Male,0,Total,13,Cayuga,41517
2004,0,Total,1,Male,0,Total,14,Chautauqua,67182
2004,0,Total,1,Male,0,Total,15,Chemung,44380
2004,0,Total,1,Male,0,Total,16,Chenango,25508
2004,0,Total,1,Male,0,Total,17,Clinton,41810
2004,0,Total,1,Male,0,Total,18,Columbia,31630
2004,0,Total,1,Male,0,Total,19,Cortland,23673
2004,0,Total,1,Male,0,Total,20,Delaware,23324
2004,0,Total,1,Male,0,Total,21,Dutchess,146723
2004,0,Total,1,Male,0,Total,22,Erie,449399
2004,0,Total,1,Male,0,Total,23,Essex,20244
2004,0,Total,1,Male,0,Total,24,Franklin,27958
2004,0,Total,1,Male,0,Total,25,Fulton,27281
2004,0,Total,1,Male,0,Total,26,Genesee,29436
2004,0,Total,1,Male,0,Total,27,Greene,25369
2004,0,Total,1,Male,0,Total,28,Hamilton,2566
2004,0,Total,1,Male,0,Total,29,Herkimer,31062
2004,0,Total,1,Male,0,Total,30,Jefferson,57538
2004,0,Total,1,Male,0,Total,31,Lewis,13187
2004,0,Total,1,Male,0,Total,32,Livingston,32421
2004,0,Total,1,Male,0,Total,33,Madison,34559
2004,0,Total,1,Male,0,Total,34,Monroe,355705
2004,0,Total,1,Male,0,Total,35,Montgomery,23730
2004,0,Total,1,Male,0,Total,36,Nassau,648727
2004,0,Total,1,Male,0,Total,37,Niagara,105291
2004,0,Total,1,Male,0,Total,38,Oneida,117061
2004,0,Total,1,Male,0,Total,39,Onondaga,220721
2004,0,Total,1,Male,0,Total,40,Ontario,50661
2004,0,Total,1,Male,0,Total,41,Orange,186362
2004,0,Total,1,Male,0,Total,42,Orleans,21938
2004,0,Total,1,Male,0,Total,43,Oswego,61070
2004,0,Total,1,Male,0,Total,44,Otsego,30089
2004,0,Total,1,Male,0,Total,45,Putnam,50415
2004,0,Total,1,Male,0,Total,46,Rensselaer,75770
2004,0,Total,1,Male,0,Total,47,Rockland,144415
2004,0,Total,1,Male,0,Total,48,St Lawrence,56404
2004,0,Total,1,Male,0,Total,49,Saratoga,104891
2004,0,Total,1,Male,0,Total,50,Schenectady,71659
2004,0,Total,1,Male,0,Total,51,Schoharie,15905
2004,0,Total,1,Male,0,Total,52,Schuyler,9806
2004,0,Total,1,Male,0,Total,53,Seneca,18162
2004,0,Total,1,Male,0,Total,54,Steuben,48434
2004,0,Total,1,Male,0,Total,55,Suffolk,726087
2004,0,Total,1,Male,0,Total,56,Sullivan,38675
2004,0,Total,1,Male,0,Total,57,Tioga,25498
2004,0,Total,1,Male,0,Total,58,Tompkins,50003
2004,0,Total,1,Male,0,Total,59,Ulster,90528
2004,0,Total,1,Male,0,Total,60,Warren,31660
2004,0,Total,1,Male,0,Total,61,Washington,32345
2004,0,Total,1,Male,0,Total,62,Wayne,46419
2004,0,Total,1,Male,0,Total,63,Westchester,453453
2004,0,Total,1,Male,0,Total,64,Wyoming,23349
2004,0,Total,1,Male,0,Total,65,Yates,12037
2005,0,Total,1,Male,0,Total,1,New York State,9327052
2005,0,Total,1,Male,0,Total,2,New York City,3876445
2005,0,Total,1,Male,0,Total,3,Bronx,636132
2005,0,Total,1,Male,0,Total,4,Kings,1170815
2005,0,Total,1,Male,0,Total,5,New York,757060
2005,0,Total,1,Male,0,Total,6,Queens,1086840
2005,0,Total,1,Male,0,Total,7,Richmond,225598
2005,0,Total,1,Male,0,Total,8,Rest of State,5450607
2005,0,Total,1,Male,0,Total,9,Albany,143170
2005,0,Total,1,Male,0,Total,10,Allegany,25431
2005,0,Total,1,Male,0,Total,11,Broome,95396
2005,0,Total,1,Male,0,Total,12,Cattaraugus,40544
2005,0,Total,1,Male,0,Total,13,Cayuga,41255
2005,0,Total,1,Male,0,Total,14,Chautauqua,66949
2005,0,Total,1,Male,0,Total,15,Chemung,44340
2005,0,Total,1,Male,0,Total,16,Chenango,25495
2005,0,Total,1,Male,0,Total,17,Clinton,41815
2005,0,Total,1,Male,0,Total,18,Columbia,31647
2005,0,Total,1,Male,0,Total,19,Cortland,23376
2005,0,Total,1,Male,0,Total,20,Delaware,23493
2005,0,Total,1,Male,0,Total,21,Dutchess,147682
2005,0,Total,1,Male,0,Total,22,Erie,447240
2005,0,Total,1,Male,0,Total,23,Essex,20096
2005,0,Total,1,Male,0,Total,24,Franklin,28029
2005,0,Total,1,Male,0,Total,25,Fulton,27390
2005,0,Total,1,Male,0,Total,26,Genesee,29355
2005,0,Total,1,Male,0,Total,27,Greene,25613
2005,0,Total,1,Male,0,Total,28,Hamilton,2576
2005,0,Total,1,Male,0,Total,29,Herkimer,30989
2005,0,Total,1,Male,0,Total,30,Jefferson,60115
2005,0,Total,1,Male,0,Total,31,Lewis,13248
2005,0,Total,1,Male,0,Total,32,Livingston,31959
2005,0,Total,1,Male,0,Total,33,Madison,34627
2005,0,Total,1,Male,0,Total,34,Monroe,355774
2005,0,Total,1,Male,0,Total,35,Montgomery,23561
2005,0,Total,1,Male,0,Total,36,Nassau,646121
2005,0,Total,1,Male,0,Total,37,Niagara,104932
2005,0,Total,1,Male,0,Total,38,Oneida,116918
2005,0,Total,1,Male,0,Total,39,Onondaga,220293
2005,0,Total,1,Male,0,Total,40,Ontario,51187
2005,0,Total,1,Male,0,Total,41,Orange,187741
2005,0,Total,1,Male,0,Total,42,Orleans,21472
2005,0,Total,1,Male,0,Total,43,Oswego,61130
2005,0,Total,1,Male,0,Total,44,Otsego,30153
2005,0,Total,1,Male,0,Total,45,Putnam,50421
2005,0,Total,1,Male,0,Total,46,Rensselaer,76740
2005,0,Total,1,Male,0,Total,47,Rockland,143992
2005,0,Total,1,Male,0,Total,48,St Lawrence,56516
2005,0,Total,1,Male,0,Total,49,Saratoga,106107
2005,0,Total,1,Male,0,Total,50,Schenectady,72130
2005,0,Total,1,Male,0,Total,51,Schoharie,16018
2005,0,Total,1,Male,0,Total,52,Schuyler,9690
2005,0,Total,1,Male,0,Total,53,Seneca,18117
2005,0,Total,1,Male,0,Total,54,Steuben,48329
2005,0,Total,1,Male,0,Total,55,Suffolk,727495
2005,0,Total,1,Male,0,Total,56,Sullivan,38876
2005,0,Total,1,Male,0,Total,57,Tioga,25517
2005,0,Total,1,Male,0,Total,58,Tompkins,49867
2005,0,Total,1,Male,0,Total,59,Ulster,91067
2005,0,Total,1,Male,0,Total,60,Warren,31951
2005,0,Total,1,Male,0,Total,61,Washington,32528
2005,0,Total,1,Male,0,Total,62,Wayne,46184
2005,0,Total,1,Male,0,Total,63,Westchester,452636
2005,0,Total,1,Male,0,Total,64,Wyoming,23252
2005,0,Total,1,Male,0,Total,65,Yates,12062
2006,0,Total,1,Male,0,Total,1,New York State,9355020
2006,0,Total,1,Male,0,Total,2,New York City,3915000
2006,0,Total,1,Male,0,Total,3,Bronx,637328
2006,0,Total,1,Male,0,Total,4,Kings,1183484
2006,0,Total,1,Male,0,Total,5,New York,767726
2006,0,Total,1,Male,0,Total,6,Queens,1094591
2006,0,Total,1,Male,0,Total,7,Richmond,231871
2006,0,Total,1,Male,0,Total,8,Rest of State,5440019
2006,0,Total,1,Male,0,Total,9,Albany,142901
2006,0,Total,1,Male,0,Total,10,Allegany,25251
2006,0,Total,1,Male,0,Total,11,Broome,94962
2006,0,Total,1,Male,0,Total,12,Cattaraugus,40056
2006,0,Total,1,Male,0,Total,13,Cayuga,41047
2006,0,Total,1,Male,0,Total,14,Chautauqua,66446
2006,0,Total,1,Male,0,Total,15,Chemung,43886
2006,0,Total,1,Male,0,Total,16,Chenango,25556
2006,0,Total,1,Male,0,Total,17,Clinton,41880
2006,0,Total,1,Male,0,Total,18,Columbia,31370
2006,0,Total,1,Male,0,Total,19,Cortland,23364
2006,0,Total,1,Male,0,Total,20,Delaware,23110
2006,0,Total,1,Male,0,Total,21,Dutchess,147829
2006,0,Total,1,Male,0,Total,22,Erie,443143
2006,0,Total,1,Male,0,Total,23,Essex,20055
2006,0,Total,1,Male,0,Total,24,Franklin,27951
2006,0,Total,1,Male,0,Total,25,Fulton,27350
2006,0,Total,1,Male,0,Total,26,Genesee,29114
2006,0,Total,1,Male,0,Total,27,Greene,25799
2006,0,Total,1,Male,0,Total,28,Hamilton,2581
2006,0,Total,1,Male,0,Total,29,Herkimer,30763
2006,0,Total,1,Male,0,Total,30,Jefferson,58186
2006,0,Total,1,Male,0,Total,31,Lewis,13308
2006,0,Total,1,Male,0,Total,32,Livingston,32049
2006,0,Total,1,Male,0,Total,33,Madison,34401
2006,0,Total,1,Male,0,Total,34,Monroe,354300
2006,0,Total,1,Male,0,Total,35,Montgomery,23675
2006,0,Total,1,Male,0,Total,36,Nassau,643316
2006,0,Total,1,Male,0,Total,37,Niagara,104518
2006,0,Total,1,Male,0,Total,38,Oneida,116584
2006,0,Total,1,Male,0,Total,39,Onondaga,219599
2006,0,Total,1,Male,0,Total,40,Ontario,51168
2006,0,Total,1,Male,0,Total,41,Orange,189149
2006,0,Total,1,Male,0,Total,42,Orleans,21447
2006,0,Total,1,Male,0,Total,43,Oswego,60862
2006,0,Total,1,Male,0,Total,44,Otsego,30051
2006,0,Total,1,Male,0,Total,45,Putnam,50526
2006,0,Total,1,Male,0,Total,46,Rensselaer,76469
2006,0,Total,1,Male,0,Total,47,Rockland,145036
2006,0,Total,1,Male,0,Total,48,St Lawrence,56302
2006,0,Total,1,Male,0,Total,49,Saratoga,106429
2006,0,Total,1,Male,0,Total,50,Schenectady,72976
2006,0,Total,1,Male,0,Total,51,Schoharie,15957
2006,0,Total,1,Male,0,Total,52,Schuyler,9718
2006,0,Total,1,Male,0,Total,53,Seneca,18010
2006,0,Total,1,Male,0,Total,54,Steuben,48106
2006,0,Total,1,Male,0,Total,55,Suffolk,724458
2006,0,Total,1,Male,0,Total,56,Sullivan,38887
2006,0,Total,1,Male,0,Total,57,Tioga,25386
2006,0,Total,1,Male,0,Total,58,Tompkins,50120
2006,0,Total,1,Male,0,Total,59,Ulster,90998
2006,0,Total,1,Male,0,Total,60,Warren,32225
2006,0,Total,1,Male,0,Total,61,Washington,32621
2006,0,Total,1,Male,0,Total,62,Wayne,45923
2006,0,Total,1,Male,0,Total,63,Westchester,457633
2006,0,Total,1,Male,0,Total,64,Wyoming,23194
2006,0,Total,1,Male,0,Total,65,Yates,12018
2007,0,Total,1,Male,0,Total,1,New York State,9360736
2007,0,Total,1,Male,0,Total,2,New York City,3949043
2007,0,Total,1,Male,0,Total,3,Bronx,643061
2007,0,Total,1,Male,0,Total,4,Kings,1193833
2007,0,Total,1,Male,0,Total,5,New York,774815
2007,0,Total,1,Male,0,Total,6,Queens,1102975
2007,0,Total,1,Male,0,Total,7,Richmond,234359
2007,0,Total,1,Male,0,Total,8,Rest of State,5411693
2007,0,Total,1,Male,0,Total,9,Albany,144099
2007,0,Total,1,Male,0,Total,10,Allegany,24937
2007,0,Total,1,Male,0,Total,11,Broome,94985
2007,0,Total,1,Male,0,Total,12,Cattaraugus,39345
2007,0,Total,1,Male,0,Total,13,Cayuga,40519
2007,0,Total,1,Male,0,Total,14,Chautauqua,65757
2007,0,Total,1,Male,0,Total,15,Chemung,43689
2007,0,Total,1,Male,0,Total,16,Chenango,25293
2007,0,Total,1,Male,0,Total,17,Clinton,42014
2007,0,Total,1,Male,0,Total,18,Columbia,31106
2007,0,Total,1,Male,0,Total,19,Cortland,23320
2007,0,Total,1,Male,0,Total,20,Delaware,22810
2007,0,Total,1,Male,0,Total,21,Dutchess,146837
2007,0,Total,1,Male,0,Total,22,Erie,439844
2007,0,Total,1,Male,0,Total,23,Essex,19805
2007,0,Total,1,Male,0,Total,24,Franklin,27684
2007,0,Total,1,Male,0,Total,25,Fulton,27172
2007,0,Total,1,Male,0,Total,26,Genesee,28813
2007,0,Total,1,Male,0,Total,27,Greene,25450
2007,0,Total,1,Male,0,Total,28,Hamilton,2520
2007,0,Total,1,Male,0,Total,29,Herkimer,30488
2007,0,Total,1,Male,0,Total,30,Jefferson,59689
2007,0,Total,1,Male,0,Total,31,Lewis,13234
2007,0,Total,1,Male,0,Total,32,Livingston,31623
2007,0,Total,1,Male,0,Total,33,Madison,34308
2007,0,Total,1,Male,0,Total,34,Monroe,353911
2007,0,Total,1,Male,0,Total,35,Montgomery,23453
2007,0,Total,1,Male,0,Total,36,Nassau,634522
2007,0,Total,1,Male,0,Total,37,Niagara,104070
2007,0,Total,1,Male,0,Total,38,Oneida,115914
2007,0,Total,1,Male,0,Total,39,Onondaga,218459
2007,0,Total,1,Male,0,Total,40,Ontario,51046
2007,0,Total,1,Male,0,Total,41,Orange,189515
2007,0,Total,1,Male,0,Total,42,Orleans,21018
2007,0,Total,1,Male,0,Total,43,Oswego,60136
2007,0,Total,1,Male,0,Total,44,Otsego,29958
2007,0,Total,1,Male,0,Total,45,Putnam,50061
2007,0,Total,1,Male,0,Total,46,Rensselaer,76608
2007,0,Total,1,Male,0,Total,47,Rockland,145983
2007,0,Total,1,Male,0,Total,48,St Lawrence,55636
2007,0,Total,1,Male,0,Total,49,Saratoga,106809
2007,0,Total,1,Male,0,Total,50,Schenectady,73226
2007,0,Total,1,Male,0,Total,51,Schoharie,15916
2007,0,Total,1,Male,0,Total,52,Schuyler,9522
2007,0,Total,1,Male,0,Total,53,Seneca,17767
2007,0,Total,1,Male,0,Total,54,Steuben,47494
2007,0,Total,1,Male,0,Total,55,Suffolk,716826
2007,0,Total,1,Male,0,Total,56,Sullivan,38691
2007,0,Total,1,Male,0,Total,57,Tioga,24963
2007,0,Total,1,Male,0,Total,58,Tompkins,50612
2007,0,Total,1,Male,0,Total,59,Ulster,90744
2007,0,Total,1,Male,0,Total,60,Warren,32310
2007,0,Total,1,Male,0,Total,61,Washington,32291
2007,0,Total,1,Male,0,Total,62,Wayne,45085
2007,0,Total,1,Male,0,Total,63,Westchester,458983
2007,0,Total,1,Male,0,Total,64,Wyoming,22851
2007,0,Total,1,Male,0,Total,65,Yates,11972
2008,0,Total,1,Male,0,Total,1,New York State,9462063
2008,0,Total,1,Male,0,Total,2,New York City,3995209
2008,0,Total,1,Male,0,Total,3,Bronx,652033
2008,0,Total,1,Male,0,Total,4,Kings,1208456
2008,0,Total,1,Male,0,Total,5,New York,782290
2008,0,Total,1,Male,0,Total,6,Queens,1115013
2008,0,Total,1,Male,0,Total,7,Richmond,237417
2008,0,Total,1,Male,0,Total,8,Rest of State,5466854
2008,0,Total,1,Male,0,Total,9,Albany,143577
2008,0,Total,1,Male,0,Total,10,Allegany,24954
2008,0,Total,1,Male,0,Total,11,Broome,94510
2008,0,Total,1,Male,0,Total,12,Cattaraugus,39137
2008,0,Total,1,Male,0,Total,13,Cayuga,40391
2008,0,Total,1,Male,0,Total,14,Chautauqua,65783
2008,0,Total,1,Male,0,Total,15,Chemung,43653
2008,0,Total,1,Male,0,Total,16,Chenango,25121
2008,0,Total,1,Male,0,Total,17,Clinton,41834
2008,0,Total,1,Male,0,Total,18,Columbia,30951
2008,0,Total,1,Male,0,Total,19,Cortland,23267
2008,0,Total,1,Male,0,Total,20,Delaware,22669
2008,0,Total,1,Male,0,Total,21,Dutchess,146841
2008,0,Total,1,Male,0,Total,22,Erie,438365
2008,0,Total,1,Male,0,Total,23,Essex,19627
2008,0,Total,1,Male,0,Total,24,Franklin,27748
2008,0,Total,1,Male,0,Total,25,Fulton,27130
2008,0,Total,1,Male,0,Total,26,Genesee,28730
2008,0,Total,1,Male,0,Total,27,Greene,25330
2008,0,Total,1,Male,0,Total,28,Hamilton,2492
2008,0,Total,1,Male,0,Total,29,Herkimer,30328
2008,0,Total,1,Male,0,Total,30,Jefferson,60447
2008,0,Total,1,Male,0,Total,31,Lewis,13073
2008,0,Total,1,Male,0,Total,32,Livingston,31593
2008,0,Total,1,Male,0,Total,33,Madison,34284
2008,0,Total,1,Male,0,Total,34,Monroe,355721
2008,0,Total,1,Male,0,Total,35,Montgomery,23471
2008,0,Total,1,Male,0,Total,36,Nassau,657518
2008,0,Total,1,Male,0,Total,37,Niagara,103842
2008,0,Total,1,Male,0,Total,38,Oneida,115725
2008,0,Total,1,Male,0,Total,39,Onondaga,217994
2008,0,Total,1,Male,0,Total,40,Ontario,51330
2008,0,Total,1,Male,0,Total,41,Orange,190931
2008,0,Total,1,Male,0,Total,42,Orleans,20921
2008,0,Total,1,Male,0,Total,43,Oswego,60081
2008,0,Total,1,Male,0,Total,44,Otsego,29785
2008,0,Total,1,Male,0,Total,45,Putnam,49934
2008,0,Total,1,Male,0,Total,46,Rensselaer,76643
2008,0,Total,1,Male,0,Total,47,Rockland,147182
2008,0,Total,1,Male,0,Total,48,St Lawrence,55554
2008,0,Total,1,Male,0,Total,49,Saratoga,107567
2008,0,Total,1,Male,0,Total,50,Schenectady,73530
2008,0,Total,1,Male,0,Total,51,Schoharie,15849
2008,0,Total,1,Male,0,Total,52,Schuyler,9464
2008,0,Total,1,Male,0,Total,53,Seneca,17731
2008,0,Total,1,Male,0,Total,54,Steuben,47361
2008,0,Total,1,Male,0,Total,55,Suffolk,746853
2008,0,Total,1,Male,0,Total,56,Sullivan,38620
2008,0,Total,1,Male,0,Total,57,Tioga,24805
2008,0,Total,1,Male,0,Total,58,Tompkins,50632
2008,0,Total,1,Male,0,Total,59,Ulster,90633
2008,0,Total,1,Male,0,Total,60,Warren,32243
2008,0,Total,1,Male,0,Total,61,Washington,32358
2008,0,Total,1,Male,0,Total,62,Wayne,45240
2008,0,Total,1,Male,0,Total,63,Westchester,460779
