Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Male
2008,0,Total,1,Male,0,Total,64,Wyoming,22699
2008,0,Total,1,Male,0,Total,65,Yates,12023
2009,0,Total,1,Male,0,Total,1,New York State,9499163
2009,0,Total,1,Male,0,Total,2,New York City,4011243
2009,0,Total,1,Male,0,Total,3,Bronx,656983
2009,0,Total,1,Male,0,Total,4,Kings,1215532
2009,0,Total,1,Male,0,Total,5,New York,775857
2009,0,Total,1,Male,0,Total,6,Queens,1122781
2009,0,Total,1,Male,0,Total,7,Richmond,240090
2009,0,Total,1,Male,0,Total,8,Rest of State,5487920
2009,0,Total,1,Male,0,Total,9,Albany,143696
2009,0,Total,1,Male,0,Total,10,Allegany,24825
2009,0,Total,1,Male,0,Total,11,Broome,94373
2009,0,Total,1,Male,0,Total,12,Cattaraugus,39211
2009,0,Total,1,Male,0,Total,13,Cayuga,40395
2009,0,Total,1,Male,0,Total,14,Chautauqua,65457
2009,0,Total,1,Male,0,Total,15,Chemung,43960
2009,0,Total,1,Male,0,Total,16,Chenango,25120
2009,0,Total,1,Male,0,Total,17,Clinton,41730
2009,0,Total,1,Male,0,Total,18,Columbia,30858
2009,0,Total,1,Male,0,Total,19,Cortland,23213
2009,0,Total,1,Male,0,Total,20,Delaware,22548
2009,0,Total,1,Male,0,Total,21,Dutchess,147665
2009,0,Total,1,Male,0,Total,22,Erie,438252
2009,0,Total,1,Male,0,Total,23,Essex,19610
2009,0,Total,1,Male,0,Total,24,Franklin,27605
2009,0,Total,1,Male,0,Total,25,Fulton,27266
2009,0,Total,1,Male,0,Total,26,Genesee,28700
2009,0,Total,1,Male,0,Total,27,Greene,25367
2009,0,Total,1,Male,0,Total,28,Hamilton,2442
2009,0,Total,1,Male,0,Total,29,Herkimer,30442
2009,0,Total,1,Male,0,Total,30,Jefferson,60573
2009,0,Total,1,Male,0,Total,31,Lewis,13084
2009,0,Total,1,Male,0,Total,32,Livingston,31485
2009,0,Total,1,Male,0,Total,33,Madison,34568
2009,0,Total,1,Male,0,Total,34,Monroe,356253
2009,0,Total,1,Male,0,Total,35,Montgomery,23571
2009,0,Total,1,Male,0,Total,36,Nassau,661828
2009,0,Total,1,Male,0,Total,37,Niagara,104188
2009,0,Total,1,Male,0,Total,38,Oneida,115524
2009,0,Total,1,Male,0,Total,39,Onondaga,219263
2009,0,Total,1,Male,0,Total,40,Ontario,52030
2009,0,Total,1,Male,0,Total,41,Orange,193693
2009,0,Total,1,Male,0,Total,42,Orleans,20978
2009,0,Total,1,Male,0,Total,43,Oswego,60149
2009,0,Total,1,Male,0,Total,44,Otsego,29675
2009,0,Total,1,Male,0,Total,45,Putnam,50143
2009,0,Total,1,Male,0,Total,46,Rensselaer,76828
2009,0,Total,1,Male,0,Total,47,Rockland,148619
2009,0,Total,1,Male,0,Total,48,St Lawrence,55780
2009,0,Total,1,Male,0,Total,49,Saratoga,108898
2009,0,Total,1,Male,0,Total,50,Schenectady,74231
2009,0,Total,1,Male,0,Total,51,Schoharie,15734
2009,0,Total,1,Male,0,Total,52,Schuyler,9445
2009,0,Total,1,Male,0,Total,53,Seneca,17652
2009,0,Total,1,Male,0,Total,54,Steuben,47590
2009,0,Total,1,Male,0,Total,55,Suffolk,750236
2009,0,Total,1,Male,0,Total,56,Sullivan,38596
2009,0,Total,1,Male,0,Total,57,Tioga,24850
2009,0,Total,1,Male,0,Total,58,Tompkins,50820
2009,0,Total,1,Male,0,Total,59,Ulster,90489
2009,0,Total,1,Male,0,Total,60,Warren,32307
2009,0,Total,1,Male,0,Total,61,Washington,32423
2009,0,Total,1,Male,0,Total,62,Wayne,45343
2009,0,Total,1,Male,0,Total,63,Westchester,463834
2009,0,Total,1,Male,0,Total,64,Wyoming,22551
2009,0,Total,1,Male,0,Total,65,Yates,11954
2010,0,Total,1,Male,0,Total,1,New York State,9377147
2010,0,Total,1,Male,0,Total,2,New York City,3882544
2010,0,Total,1,Male,0,Total,3,Bronx,649633
2010,0,Total,1,Male,0,Total,4,Kings,1181378
2010,0,Total,1,Male,0,Total,5,New York,744441
2010,0,Total,1,Male,0,Total,6,Queens,1079803
2010,0,Total,1,Male,0,Total,7,Richmond,227289
2010,0,Total,1,Male,0,Total,8,Rest of State,5494603
2010,0,Total,1,Male,0,Total,9,Albany,147076
2010,0,Total,1,Male,0,Total,10,Allegany,24696
2010,0,Total,1,Male,0,Total,11,Broome,98373
2010,0,Total,1,Male,0,Total,12,Cattaraugus,39729
2010,0,Total,1,Male,0,Total,13,Cayuga,40833
2010,0,Total,1,Male,0,Total,14,Chautauqua,66509
2010,0,Total,1,Male,0,Total,15,Chemung,44171
2010,0,Total,1,Male,0,Total,16,Chenango,25136
2010,0,Total,1,Male,0,Total,17,Clinton,42097
2010,0,Total,1,Male,0,Total,18,Columbia,31761
2010,0,Total,1,Male,0,Total,19,Cortland,24093
2010,0,Total,1,Male,0,Total,20,Delaware,24096
2010,0,Total,1,Male,0,Total,21,Dutchess,148112
2010,0,Total,1,Male,0,Total,22,Erie,442971
2010,0,Total,1,Male,0,Total,23,Essex,20391
2010,0,Total,1,Male,0,Total,24,Franklin,28336
2010,0,Total,1,Male,0,Total,25,Fulton,27465
2010,0,Total,1,Male,0,Total,26,Genesee,29756
2010,0,Total,1,Male,0,Total,27,Greene,25680
2010,0,Total,1,Male,0,Total,28,Hamilton,2446
2010,0,Total,1,Male,0,Total,29,Herkimer,31579
2010,0,Total,1,Male,0,Total,30,Jefferson,59185
2010,0,Total,1,Male,0,Total,31,Lewis,13620
2010,0,Total,1,Male,0,Total,32,Livingston,32816
2010,0,Total,1,Male,0,Total,33,Madison,36064
2010,0,Total,1,Male,0,Total,34,Monroe,359108
2010,0,Total,1,Male,0,Total,35,Montgomery,24447
2010,0,Total,1,Male,0,Total,36,Nassau,647978
2010,0,Total,1,Male,0,Total,37,Niagara,105008
2010,0,Total,1,Male,0,Total,38,Oneida,117032
2010,0,Total,1,Male,0,Total,39,Onondaga,224861
2010,0,Total,1,Male,0,Total,40,Ontario,52742
2010,0,Total,1,Male,0,Total,41,Orange,186289
2010,0,Total,1,Male,0,Total,42,Orleans,21233
2010,0,Total,1,Male,0,Total,43,Oswego,60859
2010,0,Total,1,Male,0,Total,44,Otsego,30115
2010,0,Total,1,Male,0,Total,45,Putnam,49789
2010,0,Total,1,Male,0,Total,46,Rensselaer,78709
2010,0,Total,1,Male,0,Total,47,Rockland,152879
2010,0,Total,1,Male,0,Total,48,St Lawrence,56852
2010,0,Total,1,Male,0,Total,49,Saratoga,108059
2010,0,Total,1,Male,0,Total,50,Schenectady,74856
2010,0,Total,1,Male,0,Total,51,Schoharie,16375
2010,0,Total,1,Male,0,Total,52,Schuyler,9122
2010,0,Total,1,Male,0,Total,53,Seneca,18454
2010,0,Total,1,Male,0,Total,54,Steuben,49126
2010,0,Total,1,Male,0,Total,55,Suffolk,734668
2010,0,Total,1,Male,0,Total,56,Sullivan,39614
2010,0,Total,1,Male,0,Total,57,Tioga,25345
2010,0,Total,1,Male,0,Total,58,Tompkins,50031
2010,0,Total,1,Male,0,Total,59,Ulster,90809
2010,0,Total,1,Male,0,Total,60,Warren,32082
2010,0,Total,1,Male,0,Total,61,Washington,32758
2010,0,Total,1,Male,0,Total,62,Wayne,46520
2010,0,Total,1,Male,0,Total,63,Westchester,456661
2010,0,Total,1,Male,0,Total,64,Wyoming,22953
2010,0,Total,1,Male,0,Total,65,Yates,12278
2011,0,Total,1,Male,0,Total,1,New York State,9431804
2011,0,Total,1,Male,0,Total,2,New York City,3925356
2011,0,Total,1,Male,0,Total,3,Bronx,655357
2011,0,Total,1,Male,0,Total,4,Kings,1197281
2011,0,Total,1,Male,0,Total,5,New York,754592
2011,0,Total,1,Male,0,Total,6,Queens,1090105
2011,0,Total,1,Male,0,Total,7,Richmond,228021
2011,0,Total,1,Male,0,Total,8,Rest of State,5506448
2011,0,Total,1,Male,0,Total,9,Albany,146872
2011,0,Total,1,Male,0,Total,10,Allegany,24621
2011,0,Total,1,Male,0,Total,11,Broome,97514
2011,0,Total,1,Male,0,Total,12,Cattaraugus,39422
2011,0,Total,1,Male,0,Total,13,Cayuga,40679
2011,0,Total,1,Male,0,Total,14,Chautauqua,66298
2011,0,Total,1,Male,0,Total,15,Chemung,44216
2011,0,Total,1,Male,0,Total,16,Chenango,24969
2011,0,Total,1,Male,0,Total,17,Clinton,42062
2011,0,Total,1,Male,0,Total,18,Columbia,31427
2011,0,Total,1,Male,0,Total,19,Cortland,24117
2011,0,Total,1,Male,0,Total,20,Delaware,23906
2011,0,Total,1,Male,0,Total,21,Dutchess,148332
2011,0,Total,1,Male,0,Total,22,Erie,443070
2011,0,Total,1,Male,0,Total,23,Essex,20323
2011,0,Total,1,Male,0,Total,24,Franklin,28315
2011,0,Total,1,Male,0,Total,25,Fulton,27245
2011,0,Total,1,Male,0,Total,26,Genesee,29811
2011,0,Total,1,Male,0,Total,27,Greene,25547
2011,0,Total,1,Male,0,Total,28,Hamilton,2417
2011,0,Total,1,Male,0,Total,29,Herkimer,31485
2011,0,Total,1,Male,0,Total,30,Jefferson,60338
2011,0,Total,1,Male,0,Total,31,Lewis,13672
2011,0,Total,1,Male,0,Total,32,Livingston,32635
2011,0,Total,1,Male,0,Total,33,Madison,35965
2011,0,Total,1,Male,0,Total,34,Monroe,359892
2011,0,Total,1,Male,0,Total,35,Montgomery,24380
2011,0,Total,1,Male,0,Total,36,Nassau,650968
2011,0,Total,1,Male,0,Total,37,Niagara,104907
2011,0,Total,1,Male,0,Total,38,Oneida,116678
2011,0,Total,1,Male,0,Total,39,Onondaga,225293
2011,0,Total,1,Male,0,Total,40,Ontario,53072
2011,0,Total,1,Male,0,Total,41,Orange,187568
2011,0,Total,1,Male,0,Total,42,Orleans,21112
2011,0,Total,1,Male,0,Total,43,Oswego,60953
2011,0,Total,1,Male,0,Total,44,Otsego,29928
2011,0,Total,1,Male,0,Total,45,Putnam,49778
2011,0,Total,1,Male,0,Total,46,Rensselaer,78603
2011,0,Total,1,Male,0,Total,47,Rockland,154686
2011,0,Total,1,Male,0,Total,48,St Lawrence,56707
2011,0,Total,1,Male,0,Total,49,Saratoga,108640
2011,0,Total,1,Male,0,Total,50,Schenectady,74990
2011,0,Total,1,Male,0,Total,51,Schoharie,16317
2011,0,Total,1,Male,0,Total,52,Schuyler,9153
2011,0,Total,1,Male,0,Total,53,Seneca,18433
2011,0,Total,1,Male,0,Total,54,Steuben,49104
2011,0,Total,1,Male,0,Total,55,Suffolk,737390
2011,0,Total,1,Male,0,Total,56,Sullivan,39331
2011,0,Total,1,Male,0,Total,57,Tioga,25309
2011,0,Total,1,Male,0,Total,58,Tompkins,50193
2011,0,Total,1,Male,0,Total,59,Ulster,90746
2011,0,Total,1,Male,0,Total,60,Warren,32140
2011,0,Total,1,Male,0,Total,61,Washington,32711
2011,0,Total,1,Male,0,Total,62,Wayne,46331
2011,0,Total,1,Male,0,Total,63,Westchester,460662
2011,0,Total,1,Male,0,Total,64,Wyoming,22867
2011,0,Total,1,Male,0,Total,65,Yates,12348
2012,0,Total,1,Male,0,Total,1,New York State,9489217
2012,0,Total,1,Male,0,Total,2,New York City,3972371
2012,0,Total,1,Male,0,Total,3,Bronx,663210
2012,0,Total,1,Male,0,Total,4,Kings,1214885
2012,0,Total,1,Male,0,Total,5,New York,763920
2012,0,Total,1,Male,0,Total,6,Queens,1102593
2012,0,Total,1,Male,0,Total,7,Richmond,227763
2012,0,Total,1,Male,0,Total,8,Rest of State,5516846
2012,0,Total,1,Male,0,Total,9,Albany,147620
2012,0,Total,1,Male,0,Total,10,Allegany,24415
2012,0,Total,1,Male,0,Total,11,Broome,97061
2012,0,Total,1,Male,0,Total,12,Cattaraugus,39285
2012,0,Total,1,Male,0,Total,13,Cayuga,40633
2012,0,Total,1,Male,0,Total,14,Chautauqua,66079
2012,0,Total,1,Male,0,Total,15,Chemung,44265
2012,0,Total,1,Male,0,Total,16,Chenango,24879
2012,0,Total,1,Male,0,Total,17,Clinton,41915
2012,0,Total,1,Male,0,Total,18,Columbia,31361
2012,0,Total,1,Male,0,Total,19,Cortland,24169
2012,0,Total,1,Male,0,Total,20,Delaware,23686
2012,0,Total,1,Male,0,Total,21,Dutchess,147955
2012,0,Total,1,Male,0,Total,22,Erie,444184
2012,0,Total,1,Male,0,Total,23,Essex,20206
2012,0,Total,1,Male,0,Total,24,Franklin,28522
2012,0,Total,1,Male,0,Total,25,Fulton,27180
2012,0,Total,1,Male,0,Total,26,Genesee,29808
2012,0,Total,1,Male,0,Total,27,Greene,25412
2012,0,Total,1,Male,0,Total,28,Hamilton,2406
2012,0,Total,1,Male,0,Total,29,Herkimer,31661
2012,0,Total,1,Male,0,Total,30,Jefferson,62228
2012,0,Total,1,Male,0,Total,31,Lewis,13773
2012,0,Total,1,Male,0,Total,32,Livingston,32528
2012,0,Total,1,Male,0,Total,33,Madison,35458
2012,0,Total,1,Male,0,Total,34,Monroe,361171
2012,0,Total,1,Male,0,Total,35,Montgomery,24486
2012,0,Total,1,Male,0,Total,36,Nassau,653809
2012,0,Total,1,Male,0,Total,37,Niagara,104566
2012,0,Total,1,Male,0,Total,38,Oneida,116276
2012,0,Total,1,Male,0,Total,39,Onondaga,225354
2012,0,Total,1,Male,0,Total,40,Ontario,53136
2012,0,Total,1,Male,0,Total,41,Orange,187419
2012,0,Total,1,Male,0,Total,42,Orleans,21278
2012,0,Total,1,Male,0,Total,43,Oswego,60740
2012,0,Total,1,Male,0,Total,44,Otsego,29929
2012,0,Total,1,Male,0,Total,45,Putnam,49555
2012,0,Total,1,Male,0,Total,46,Rensselaer,78959
2012,0,Total,1,Male,0,Total,47,Rockland,155849
2012,0,Total,1,Male,0,Total,48,St Lawrence,57143
2012,0,Total,1,Male,0,Total,49,Saratoga,109378
2012,0,Total,1,Male,0,Total,50,Schenectady,75189
2012,0,Total,1,Male,0,Total,51,Schoharie,16006
2012,0,Total,1,Male,0,Total,52,Schuyler,9277
2012,0,Total,1,Male,0,Total,53,Seneca,18457
2012,0,Total,1,Male,0,Total,54,Steuben,49122
2012,0,Total,1,Male,0,Total,55,Suffolk,738012
2012,0,Total,1,Male,0,Total,56,Sullivan,39375
2012,0,Total,1,Male,0,Total,57,Tioga,25038
2012,0,Total,1,Male,0,Total,58,Tompkins,50627
2012,0,Total,1,Male,0,Total,59,Ulster,90399
2012,0,Total,1,Male,0,Total,60,Warren,32049
2012,0,Total,1,Male,0,Total,61,Washington,32546
2012,0,Total,1,Male,0,Total,62,Wayne,46117
2012,0,Total,1,Male,0,Total,63,Westchester,463701
2012,0,Total,1,Male,0,Total,64,Wyoming,22869
2012,0,Total,1,Male,0,Total,65,Yates,12325
2013,0,Total,1,Male,0,Total,1,New York State,9536193
2013,0,Total,1,Male,0,Total,2,New York City,4010373
2013,0,Total,1,Male,0,Total,3,Bronx,669055
2013,0,Total,1,Male,0,Total,4,Kings,1229189
2013,0,Total,1,Male,0,Total,5,New York,768147
2013,0,Total,1,Male,0,Total,6,Queens,1115121
2013,0,Total,1,Male,0,Total,7,Richmond,228861
2013,0,Total,1,Male,0,Total,8,Rest of State,5525820
2013,0,Total,1,Male,0,Total,9,Albany,148277
2013,0,Total,1,Male,0,Total,10,Allegany,24278
2013,0,Total,1,Male,0,Total,11,Broome,96856
2013,0,Total,1,Male,0,Total,12,Cattaraugus,39027
2013,0,Total,1,Male,0,Total,13,Cayuga,40626
2013,0,Total,1,Male,0,Total,14,Chautauqua,65880
2013,0,Total,1,Male,0,Total,15,Chemung,44088
2013,0,Total,1,Male,0,Total,16,Chenango,24725
2013,0,Total,1,Male,0,Total,17,Clinton,41753
2013,0,Total,1,Male,0,Total,18,Columbia,31226
2013,0,Total,1,Male,0,Total,19,Cortland,23962
2013,0,Total,1,Male,0,Total,20,Delaware,23502
2013,0,Total,1,Male,0,Total,21,Dutchess,147612
2013,0,Total,1,Male,0,Total,22,Erie,444886
2013,0,Total,1,Male,0,Total,23,Essex,20103
2013,0,Total,1,Male,0,Total,24,Franklin,28526
2013,0,Total,1,Male,0,Total,25,Fulton,27014
2013,0,Total,1,Male,0,Total,26,Genesee,29532
2013,0,Total,1,Male,0,Total,27,Greene,25290
2013,0,Total,1,Male,0,Total,28,Hamilton,2400
2013,0,Total,1,Male,0,Total,29,Herkimer,31557
2013,0,Total,1,Male,0,Total,30,Jefferson,62349
2013,0,Total,1,Male,0,Total,31,Lewis,13732
2013,0,Total,1,Male,0,Total,32,Livingston,32487
2013,0,Total,1,Male,0,Total,33,Madison,35572
2013,0,Total,1,Male,0,Total,34,Monroe,362173
2013,0,Total,1,Male,0,Total,35,Montgomery,24504
2013,0,Total,1,Male,0,Total,36,Nassau,655582
2013,0,Total,1,Male,0,Total,37,Niagara,104345
2013,0,Total,1,Male,0,Total,38,Oneida,116499
2013,0,Total,1,Male,0,Total,39,Onondaga,226145
2013,0,Total,1,Male,0,Total,40,Ontario,53422
2013,0,Total,1,Male,0,Total,41,Orange,187963
2013,0,Total,1,Male,0,Total,42,Orleans,20886
2013,0,Total,1,Male,0,Total,43,Oswego,60511
2013,0,Total,1,Male,0,Total,44,Otsego,29968
2013,0,Total,1,Male,0,Total,45,Putnam,49643
2013,0,Total,1,Male,0,Total,46,Rensselaer,79091
2013,0,Total,1,Male,0,Total,47,Rockland,157472
2013,0,Total,1,Male,0,Total,48,St Lawrence,56945
2013,0,Total,1,Male,0,Total,49,Saratoga,110489
2013,0,Total,1,Male,0,Total,50,Schenectady,75542
2013,0,Total,1,Male,0,Total,51,Schoharie,15814
2013,0,Total,1,Male,0,Total,52,Schuyler,9306
2013,0,Total,1,Male,0,Total,53,Seneca,18516
2013,0,Total,1,Male,0,Total,54,Steuben,48946
2013,0,Total,1,Male,0,Total,55,Suffolk,738426
2013,0,Total,1,Male,0,Total,56,Sullivan,39332
2013,0,Total,1,Male,0,Total,57,Tioga,24907
2013,0,Total,1,Male,0,Total,58,Tompkins,51089
2013,0,Total,1,Male,0,Total,59,Ulster,89887
2013,0,Total,1,Male,0,Total,60,Warren,31945
2013,0,Total,1,Male,0,Total,61,Washington,32586
2013,0,Total,1,Male,0,Total,62,Wayne,45879
2013,0,Total,1,Male,0,Total,63,Westchester,467867
2013,0,Total,1,Male,0,Total,64,Wyoming,22629
2013,0,Total,1,Male,0,Total,65,Yates,12251
2014,0,Total,1,Male,0,Total,3,Bronx,678127
2014,0,Total,1,Male,0,Total,4,Kings,1242763
2014,0,Total,1,Male,0,Total,58,Tompkins,51646
2014,0,Total,1,Male,0,Total,6,Queens,1126005
2014,0,Total,1,Male,0,Total,2,New York City,4048444
2014,0,Total,1,Male,0,Total,40,Ontario,53909
2014,0,Total,1,Male,0,Total,47,Rockland,158772
2014,0,Total,1,Male,0,Total,49,Saratoga,111196
2014,0,Total,1,Male,0,Total,5,New York,772708
2014,0,Total,1,Male,0,Total,1,New York State,9581261
2014,0,Total,1,Male,0,Total,9,Albany,148968
2014,0,Total,1,Male,0,Total,36,Nassau,658610
2014,0,Total,1,Male,0,Total,63,Westchester,469886
2014,0,Total,1,Male,0,Total,22,Erie,446774
2014,0,Total,1,Male,0,Total,17,Clinton,41930
2014,0,Total,1,Male,0,Total,50,Schenectady,75851
2014,0,Total,1,Male,0,Total,31,Lewis,13784
2014,0,Total,1,Male,0,Total,55,Suffolk,740440
2014,0,Total,1,Male,0,Total,23,Essex,20152
2014,0,Total,1,Male,0,Total,65,Yates,12277
2014,0,Total,1,Male,0,Total,35,Montgomery,24545
2014,0,Total,1,Male,0,Total,33,Madison,35628
2014,0,Total,1,Male,0,Total,11,Broome,96996
2014,0,Total,1,Male,0,Total,8,Rest of State,5532817
2014,0,Total,1,Male,0,Total,41,Orange,188196
2014,0,Total,1,Male,0,Total,34,Monroe,362304
2014,0,Total,1,Male,0,Total,52,Schuyler,9307
2014,0,Total,1,Male,0,Total,7,Richmond,228841
2014,0,Total,1,Male,0,Total,21,Dutchess,147592
2014,0,Total,1,Male,0,Total,43,Oswego,60498
2014,0,Total,1,Male,0,Total,39,Onondaga,226044
2014,0,Total,1,Male,0,Total,26,Genesee,29516
2014,0,Total,1,Male,0,Total,18,Columbia,31200
2014,0,Total,1,Male,0,Total,16,Chenango,24704
2014,0,Total,1,Male,0,Total,30,Jefferson,62283
2014,0,Total,1,Male,0,Total,19,Cortland,23936
2014,0,Total,1,Male,0,Total,42,Orleans,20862
2014,0,Total,1,Male,0,Total,59,Ulster,89783
2014,0,Total,1,Male,0,Total,45,Putnam,49527
2014,0,Total,1,Male,0,Total,46,Rensselaer,78905
2014,0,Total,1,Male,0,Total,12,Cattaraugus,38914
2014,0,Total,1,Male,0,Total,20,Delaware,23430
2014,0,Total,1,Male,0,Total,37,Niagara,104006
2014,0,Total,1,Male,0,Total,54,Steuben,48782
2014,0,Total,1,Male,0,Total,48,St Lawrence,56737
2014,0,Total,1,Male,0,Total,32,Livingston,32368
2014,0,Total,1,Male,0,Total,28,Hamilton,2391
2014,0,Total,1,Male,0,Total,57,Tioga,24797
2014,0,Total,1,Male,0,Total,60,Warren,31803
2014,0,Total,1,Male,0,Total,10,Allegany,24170
2014,0,Total,1,Male,0,Total,38,Oneida,115956
2014,0,Total,1,Male,0,Total,29,Herkimer,31399
2014,0,Total,1,Male,0,Total,62,Wayne,45601
2014,0,Total,1,Male,0,Total,51,Schoharie,15715
2014,0,Total,1,Male,0,Total,14,Chautauqua,65429
2014,0,Total,1,Male,0,Total,61,Washington,32339
2014,0,Total,1,Male,0,Total,44,Otsego,29736
2014,0,Total,1,Male,0,Total,13,Cayuga,40268
2014,0,Total,1,Male,0,Total,25,Fulton,26758
2014,0,Total,1,Male,0,Total,56,Sullivan,38932
2014,0,Total,1,Male,0,Total,64,Wyoming,22374
2014,0,Total,1,Male,0,Total,15,Chemung,43566
2014,0,Total,1,Male,0,Total,27,Greene,24983
2014,0,Total,1,Male,0,Total,24,Franklin,28118
2014,0,Total,1,Male,0,Total,53,Seneca,18224
